Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Colistin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Acinetobacter spp.,Colistin,0,0,1.111111111,6.474820144,9.090909091,,
2018,BLOOD,Acinetobacter spp.,Colistin,0,0,1.225490196,2.556818182,8.171206226,,
2019,BLOOD,Acinetobacter spp.,Colistin,0,1.01010101,2.53411306,4.347826087,11.76470588,,
2020,BLOOD,Acinetobacter spp.,Colistin,0,0.808625337,2.2,5.263157895,33.33333333,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Colistin,1982,24,2,8.333333333
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Colistin,2452,22,1,4.545454545
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Colistin,2464,23,1,4.347826087
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Colistin,2925,25,0,0
ARG,Argentina,Region of the Americas,2017,BLOOD,Acinetobacter spp.,Colistin,6657,360,4,1.111111111
ARG,Argentina,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Colistin,7385,352,9,2.556818182
ARG,Argentina,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Colistin,5783,198,2,1.01010101
ARG,Argentina,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Colistin,7376,500,11,2.2
IND,India,South-East Asia Region,2017,BLOOD,Acinetobacter spp.,Colistin,8532,25,0,0
IND,India,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Colistin,14459,42,0,0
IND,India,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Colistin,24223,330,15,4.545454545
IND,India,South-East Asia Region,2020,BLOOD,Acinetobacter spp.,Colistin,12371,371,3,0.808625337
MKD,North Macedonia,European Region,2017,BLOOD,Acinetobacter spp.,Colistin,175,22,2,9.090909091
MKD,North Macedonia,European Region,2018,BLOOD,Acinetobacter spp.,Colistin,176,21,0,0
MKD,North Macedonia,European Region,2019,BLOOD,Acinetobacter spp.,Colistin,276,35,0,0
MKD,North Macedonia,European Region,2020,BLOOD,Acinetobacter spp.,Colistin,293,38,2,5.263157895
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Colistin,25686,132,0,0
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Colistin,26268,138,3,2.173913043
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Colistin,25194,69,0,0
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Colistin,20249,41,0,0
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Colistin,1043,67,0,0
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Colistin,631,33,0,0
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Colistin,1007,60,1,1.666666667
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Colistin,876,21,7,33.33333333
PHL,Philippines,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Colistin,5103,431,13,3.016241299
PHL,Philippines,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Colistin,5595,408,5,1.225490196
PHL,Philippines,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Colistin,6468,513,13,2.53411306
PHL,Philippines,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Colistin,4276,447,14,3.131991051
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Colistin,1491,139,9,6.474820144
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Colistin,2420,257,21,8.171206226
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Colistin,2528,238,28,11.76470588
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Colistin,2458,386,49,12.69430052
THA,Thailand,South-East Asia Region,2017,BLOOD,Acinetobacter spp.,Colistin,1349,78,0,0
THA,Thailand,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Colistin,2629,72,0,0
THA,Thailand,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Colistin,5463,195,5,2.564102564
THA,Thailand,South-East Asia Region,2020,BLOOD,Acinetobacter spp.,Colistin,6159,407,5,1.228501229
