Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,5.985930326,34.42622951,61.53846154,82.15206186,100,,
2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,5.831498684,32.53588517,60.75949367,80.89285714,97.63313609,,
2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,5.757530045,37.22627737,61.32596685,78.67298578,96.42857143,,
2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,6.482501077,32.65306122,63.7254902,81.92211504,100,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,1982,396,125,31.56565657
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,2452,418,136,32.53588517
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,2464,376,144,38.29787234
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,2925,441,144,32.65306122
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,634,126,80,63.49206349
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,841,200,139,69.5
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,1020,211,166,78.67298578
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,954,207,157,75.84541063
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,9259,126,12,9.523809524
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,19539,278,19,6.834532374
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,10424,135,10,7.407407407
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,10256,121,12,9.917355372
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,102,55,54,98.18181818
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,967,338,330,97.63313609
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,1114,385,368,95.58441558
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,901,181,174,96.13259669
GEO,Georgia,European Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,105,25,22,88
GEO,Georgia,European Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,216,59,51,86.44067797
GEO,Georgia,European Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,433,120,92,76.66666667
GEO,Georgia,European Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,741,191,153,80.10471204
IND,India,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,8532,1552,1275,82.15206186
IND,India,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,14459,1680,1359,80.89285714
IND,India,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,24223,4013,3286,81.8838774
IND,India,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,12371,2799,2293,81.92211504
JPN,Japan,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,168145,23739,1421,5.985930326
JPN,Japan,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,126859,18623,1086,5.831498684
JPN,Japan,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,136246,19887,1145,5.757530045
JPN,Japan,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,142185,20887,1354,6.482501077
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,3518,693,181,26.11832612
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,3519,701,190,27.10413695
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,3646,716,178,24.8603352
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefotaxime,4095,870,221,25.40229885
MKD,North Macedonia,European Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,175,11,11,100
MKD,North Macedonia,European Region,2018,BLOOD,Klebsiella pneumoniae,Cefotaxime,176,17,16,94.11764706
MKD,North Macedonia,European Region,2019,BLOOD,Klebsiella pneumoniae,Cefotaxime,276,28,27,96.42857143
