Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2.901589449,22.67392486,37.65692192,53.45222513,80.48780488,,
2018,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2.81892021,23.04733541,42.46031746,55.97008173,86.50306748,,
2019,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2.903697514,33.46590909,44.15173038,63.07752686,90.56603774,,
2020,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,3.759261509,36.40942391,47.85796599,62.80511875,88.71595331,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,1982,486,116,23.86831276
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2452,567,234,41.26984127
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2464,528,212,40.15151515
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,2925,638,254,39.81191223
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,6657,1326,564,42.53393665
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,7385,1501,602,40.1065956
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,5783,1175,466,39.65957447
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,7376,1767,849,48.0475382
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,196,169,53,31.36094675
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,633,125,39,31.2
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,780,209,76,36.36363636
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,568,168,96,57.14285714
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,634,144,78,54.16666667
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,841,200,117,58.5
