Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Acinetobacter spp.,Imipenem,1.340482574,46.18416402,63.63636364,78.63636364,100,,
2018,BLOOD,Acinetobacter spp.,Imipenem,0.984251969,47.59408799,73.52941176,78.34008097,89.3129771,,
2019,BLOOD,Acinetobacter spp.,Imipenem,0.876424189,47.99860068,66.85714286,78.81110119,96.069869,,
2020,BLOOD,Acinetobacter spp.,Imipenem,0.776836158,52.45913505,71.88940092,86.28039711,97.70114943,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Imipenem,1982,65,29,44.61538462
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Imipenem,2452,98,46,46.93877551
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Imipenem,2464,95,40,42.10526316
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Imipenem,2925,115,58,50.43478261
ARG,Argentina,Region of the Americas,2017,BLOOD,Acinetobacter spp.,Imipenem,6657,370,279,75.40540541
ARG,Argentina,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Imipenem,7385,372,281,75.53763441
ARG,Argentina,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Imipenem,5783,292,202,69.17808219
ARG,Argentina,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Imipenem,7376,640,528,82.5
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Acinetobacter spp.,Imipenem,634,112,108,96.42857143
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Acinetobacter spp.,Imipenem,841,131,117,89.3129771
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Acinetobacter spp.,Imipenem,1020,229,220,96.069869
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Acinetobacter spp.,Imipenem,954,348,340,97.70114943
CHE,Switzerland,European Region,2017,BLOOD,Acinetobacter spp.,Imipenem,9259,80,8,10
CHE,Switzerland,European Region,2018,BLOOD,Acinetobacter spp.,Imipenem,19539,125,4,3.2
CHE,Switzerland,European Region,2019,BLOOD,Acinetobacter spp.,Imipenem,10424,57,1,1.754385965
CHE,Switzerland,European Region,2020,BLOOD,Acinetobacter spp.,Imipenem,10256,91,9,9.89010989
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Imipenem,102,11,7,63.63636364
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Imipenem,967,68,50,73.52941176
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Imipenem,1114,93,57,61.29032258
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Imipenem,901,42,29,69.04761905
GEO,Georgia,European Region,2017,BLOOD,Acinetobacter spp.,Imipenem,105,20,16,80
GEO,Georgia,European Region,2018,BLOOD,Acinetobacter spp.,Imipenem,216,28,24,85.71428571
GEO,Georgia,European Region,2019,BLOOD,Acinetobacter spp.,Imipenem,433,83,62,74.69879518
GEO,Georgia,European Region,2020,BLOOD,Acinetobacter spp.,Imipenem,741,171,115,67.25146199
IND,India,South-East Asia Region,2017,BLOOD,Acinetobacter spp.,Imipenem,8532,1171,735,62.76686593
IND,India,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Imipenem,14459,1605,944,58.81619938
IND,India,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Imipenem,24223,3518,2199,62.50710631
IND,India,South-East Asia Region,2020,BLOOD,Acinetobacter spp.,Imipenem,12371,1546,1207,78.07244502
JPN,Japan,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Imipenem,168145,746,10,1.340482574
JPN,Japan,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Imipenem,126859,1016,10,0.984251969
JPN,Japan,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Imipenem,136246,1141,10,0.876424189
JPN,Japan,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Imipenem,142185,1416,11,0.776836158
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Imipenem,3518,235,188,80
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Imipenem,3519,247,192,77.73279352
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Imipenem,3646,225,172,76.44444444
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Imipenem,4095,217,156,71.88940092
MKD,North Macedonia,European Region,2017,BLOOD,Acinetobacter spp.,Imipenem,175,22,17,77.27272727
MKD,North Macedonia,European Region,2018,BLOOD,Acinetobacter spp.,Imipenem,176,22,17,77.27272727
MKD,North Macedonia,European Region,2019,BLOOD,Acinetobacter spp.,Imipenem,276,37,33,89.18918919
MKD,North Macedonia,European Region,2020,BLOOD,Acinetobacter spp.,Imipenem,293,39,37,94.87179487
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Imipenem,25686,2070,978,47.24637681
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Imipenem,26268,2085,1006,48.24940048
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Imipenem,25194,1752,820,46.80365297
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Imipenem,20249,1641,831,50.63985375
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Imipenem,1043,85,41,48.23529412
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Imipenem,631,38,21,55.26315789
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Imipenem,1007,93,54,58.06451613
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Imipenem,876,31,30,96.77419355
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Imipenem,2323,95,60,63.15789474
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Imipenem,7410,176,59,33.52272727
