Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Tigecycline,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Acinetobacter spp.,Tigecycline,4.680851064,8.771564117,16.37191539,24.45652174,30,,
2018,BLOOD,Acinetobacter spp.,Tigecycline,2.429149798,7.946736991,20.51796636,32.51821749,36.32286996,,
2019,BLOOD,Acinetobacter spp.,Tigecycline,8.653846154,12.83012821,19.66818874,26.73035328,31.57894737,,
2020,BLOOD,Acinetobacter spp.,Tigecycline,1.843317972,7.437573679,14.478749,25.0862069,41.37931034,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Tigecycline,3518,235,11,4.680851064
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Tigecycline,3519,247,6,2.429149798
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Tigecycline,3646,225,32,14.22222222
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Tigecycline,4095,217,4,1.843317972
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Tigecycline,25686,296,30,10.13513514
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Tigecycline,26268,327,32,9.785932722
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Tigecycline,25194,208,18,8.653846154
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Tigecycline,20249,172,16,9.302325581
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Tigecycline,2323,90,27,30
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Tigecycline,7410,16,5,31.25
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Tigecycline,8980,38,12,31.57894737
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Tigecycline,5623,116,48,41.37931034
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Tigecycline,1491,115,26,22.60869565
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Tigecycline,2420,223,81,36.32286996
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Tigecycline,2528,219,55,25.11415525
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Tigecycline,2458,290,57,19.65517241
