Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Ceftriaxone,9.123604013,31.842776,45.81939799,55.51470588,86.24454148,,
2018,BLOOD,Escherichia coli,Ceftriaxone,10.1910828,29.69051393,47.84688995,54.29166667,87.27272727,,
2019,BLOOD,Escherichia coli,Ceftriaxone,10.26533997,30.69996444,50,56.47713352,88.87417219,,
2020,BLOOD,Escherichia coli,Ceftriaxone,9.739276703,29.80228055,50.84745763,61.4691358,86.81318681,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,1982,136,71,52.20588235
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ceftriaxone,2452,209,100,47.84688995
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ceftriaxone,2464,293,135,46.07508532
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ceftriaxone,2925,392,212,54.08163265
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Ceftriaxone,634,180,40,22.22222222
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Escherichia coli,Ceftriaxone,841,248,48,19.35483871
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Escherichia coli,Ceftriaxone,1020,288,57,19.79166667
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Escherichia coli,Ceftriaxone,954,179,40,22.34636872
CHE,Switzerland,European Region,2017,BLOOD,Escherichia coli,Ceftriaxone,9259,5283,482,9.123604013
CHE,Switzerland,European Region,2018,BLOOD,Escherichia coli,Ceftriaxone,19539,11775,1200,10.1910828
CHE,Switzerland,European Region,2019,BLOOD,Escherichia coli,Ceftriaxone,10424,6030,619,10.26533997
CHE,Switzerland,European Region,2020,BLOOD,Escherichia coli,Ceftriaxone,10256,5945,579,9.739276703
GEO,Georgia,European Region,2017,BLOOD,Escherichia coli,Ceftriaxone,105,17,8,47.05882353
GEO,Georgia,European Region,2018,BLOOD,Escherichia coli,Ceftriaxone,216,50,27,54
GEO,Georgia,European Region,2019,BLOOD,Escherichia coli,Ceftriaxone,433,76,42,55.26315789
GEO,Georgia,European Region,2020,BLOOD,Escherichia coli,Ceftriaxone,741,126,55,43.65079365
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Ceftriaxone,8532,88,70,79.54545455
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Ceftriaxone,14459,55,48,87.27272727
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Ceftriaxone,24223,424,320,75.47169811
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Ceftriaxone,12371,91,79,86.81318681
JPN,Japan,Western Pacific Region,2017,BLOOD,Escherichia coli,Ceftriaxone,168145,67803,13305,19.62302553
JPN,Japan,Western Pacific Region,2018,BLOOD,Escherichia coli,Ceftriaxone,126859,50510,10163,20.12076816
JPN,Japan,Western Pacific Region,2019,BLOOD,Escherichia coli,Ceftriaxone,136246,53211,11147,20.94867603
JPN,Japan,Western Pacific Region,2020,BLOOD,Escherichia coli,Ceftriaxone,142185,57677,11914,20.65641417
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,BLOOD,Escherichia coli,Ceftriaxone,209,106,48,45.28301887
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,BLOOD,Escherichia coli,Ceftriaxone,275,109,50,45.87155963
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,BLOOD,Escherichia coli,Ceftriaxone,314,100,50,50
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,BLOOD,Escherichia coli,Ceftriaxone,422,177,90,50.84745763
LBN,Lebanon,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,188,17,10,58.82352941
LBN,Lebanon,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ceftriaxone,330,164,85,51.82926829
LBN,Lebanon,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ceftriaxone,218,79,44,55.69620253
LBN,Lebanon,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ceftriaxone,565,117,66,56.41025641
MKD,North Macedonia,European Region,2017,BLOOD,Escherichia coli,Ceftriaxone,175,67,48,71.64179104
MKD,North Macedonia,European Region,2018,BLOOD,Escherichia coli,Ceftriaxone,176,52,41,78.84615385
MKD,North Macedonia,European Region,2019,BLOOD,Escherichia coli,Ceftriaxone,276,62,38,61.29032258
MKD,North Macedonia,European Region,2020,BLOOD,Escherichia coli,Ceftriaxone,293,36,30,83.33333333
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Ceftriaxone,25686,2634,688,26.11996963
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Ceftriaxone,26268,2482,634,25.5439162
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Ceftriaxone,25194,2215,580,26.18510158
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Ceftriaxone,20249,1162,283,24.3545611
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,1043,273,137,50.18315018
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ceftriaxone,631,178,96,53.93258427
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ceftriaxone,1007,475,253,53.26315789
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ceftriaxone,876,150,97,64.66666667
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,2323,458,395,86.24454148
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ceftriaxone,7410,156,133,85.25641026
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ceftriaxone,8980,755,671,88.87417219
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ceftriaxone,5623,463,381,82.28941685
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Ceftriaxone,5103,953,358,37.56558237
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Ceftriaxone,5595,1191,403,33.83711167
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Ceftriaxone,6468,1350,539,39.92592593
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Ceftriaxone,4276,800,282,35.25
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,1491,299,137,45.81939799
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ceftriaxone,2420,480,262,54.58333333
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ceftriaxone,2528,496,284,57.25806452
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ceftriaxone,2458,405,236,58.27160494
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Ceftriaxone,1349,519,211,40.65510597
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Ceftriaxone,2629,1029,371,36.05442177
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Ceftriaxone,5463,1187,418,35.2148273
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Ceftriaxone,6159,1808,648,35.84070796
