Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Ceftazidime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Salmonella spp.,Ceftazidime,0,0,1.538461538,2.426242236,7.692307692,,
2018,BLOOD,Salmonella spp.,Ceftazidime,0,0,0.569259962,3.985230456,10.37735849,,
2019,BLOOD,Salmonella spp.,Ceftazidime,0,0.625,4.166666667,6.132665832,14.61538462,,
2020,BLOOD,Salmonella spp.,Ceftazidime,0,0,1.724137931,4.265202703,16.66666667,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Salmonella spp.,Ceftazidime,1982,67,0,0
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Salmonella spp.,Ceftazidime,2452,106,11,10.37735849
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Salmonella spp.,Ceftazidime,2464,130,19,14.61538462
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Salmonella spp.,Ceftazidime,2925,90,15,16.66666667
ARG,Argentina,Region of the Americas,2017,BLOOD,Salmonella spp.,Ceftazidime,6657,37,0,0
ARG,Argentina,Region of the Americas,2018,BLOOD,Salmonella spp.,Ceftazidime,7385,45,0,0
ARG,Argentina,Region of the Americas,2019,BLOOD,Salmonella spp.,Ceftazidime,5783,144,1,0.694444444
ARG,Argentina,Region of the Americas,2020,BLOOD,Salmonella spp.,Ceftazidime,7376,80,0,0
BGD,Bangladesh,South-East Asia Region,2017,BLOOD,Salmonella spp.,Ceftazidime,49,12,0,0
BGD,Bangladesh,South-East Asia Region,2018,BLOOD,Salmonella spp.,Ceftazidime,122,72,0,0
BGD,Bangladesh,South-East Asia Region,2019,BLOOD,Salmonella spp.,Ceftazidime,170,96,4,4.166666667
BGD,Bangladesh,South-East Asia Region,2020,BLOOD,Salmonella spp.,Ceftazidime,65,34,0,0
CHE,Switzerland,European Region,2017,BLOOD,Salmonella spp.,Ceftazidime,9259,65,1,1.538461538
CHE,Switzerland,European Region,2018,BLOOD,Salmonella spp.,Ceftazidime,19539,136,0,0
CHE,Switzerland,European Region,2019,BLOOD,Salmonella spp.,Ceftazidime,10424,59,0,0
CHE,Switzerland,European Region,2020,BLOOD,Salmonella spp.,Ceftazidime,10256,47,1,2.127659574
JPN,Japan,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ceftazidime,168145,621,7,1.127214171
JPN,Japan,Western Pacific Region,2018,BLOOD,Salmonella spp.,Ceftazidime,126859,527,3,0.569259962
JPN,Japan,Western Pacific Region,2019,BLOOD,Salmonella spp.,Ceftazidime,136246,571,7,1.22591944
JPN,Japan,Western Pacific Region,2020,BLOOD,Salmonella spp.,Ceftazidime,142185,522,9,1.724137931
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ceftazidime,3518,56,1,1.785714286
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Salmonella spp.,Ceftazidime,3519,55,1,1.818181818
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Salmonella spp.,Ceftazidime,3646,47,3,6.382978723
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Salmonella spp.,Ceftazidime,4095,37,2,5.405405405
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ceftazidime,25686,224,6,2.678571429
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Salmonella spp.,Ceftazidime,26268,187,6,3.20855615
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Salmonella spp.,Ceftazidime,25194,180,1,0.555555556
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Salmonella spp.,Ceftazidime,20249,119,1,0.840336134
PHL,Philippines,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ceftazidime,5103,26,1,3.846153846
PHL,Philippines,Western Pacific Region,2018,BLOOD,Salmonella spp.,Ceftazidime,5595,15,0,0
PHL,Philippines,Western Pacific Region,2019,BLOOD,Salmonella spp.,Ceftazidime,6468,17,1,5.882352941
PHL,Philippines,Western Pacific Region,2020,BLOOD,Salmonella spp.,Ceftazidime,4276,11,0,0
POL,Poland,European Region,2017,BLOOD,Salmonella spp.,Ceftazidime,6587,46,1,2.173913043
POL,Poland,European Region,2018,BLOOD,Salmonella spp.,Ceftazidime,6477,29,0,0
POL,Poland,European Region,2019,BLOOD,Salmonella spp.,Ceftazidime,6404,44,0,0
POL,Poland,European Region,2020,BLOOD,Salmonella spp.,Ceftazidime,4975,18,0,0
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Salmonella spp.,Ceftazidime,1491,38,0,0
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Salmonella spp.,Ceftazidime,2420,42,2,4.761904762
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Salmonella spp.,Ceftazidime,2528,40,2,5
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Salmonella spp.,Ceftazidime,2458,32,1,3.125
THA,Thailand,South-East Asia Region,2017,BLOOD,Salmonella spp.,Ceftazidime,1349,26,2,7.692307692
THA,Thailand,South-East Asia Region,2018,BLOOD,Salmonella spp.,Ceftazidime,2629,69,6,8.695652174
THA,Thailand,South-East Asia Region,2019,BLOOD,Salmonella spp.,Ceftazidime,5463,93,10,10.75268817
THA,Thailand,South-East Asia Region,2020,BLOOD,Salmonella spp.,Ceftazidime,6159,116,15,12.93103448
