Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Salmonella spp.,Ciprofloxacin,0,3.571428571,12,36.71423148,61.53846154,,
2018,BLOOD,Salmonella spp.,Ciprofloxacin,0.769230769,3.299652384,14.28571429,28.76727697,68.43192973,,
2019,BLOOD,Salmonella spp.,Ciprofloxacin,0.943396226,3.578669911,11.42857143,32.81632653,80.29324489,,
2020,BLOOD,Salmonella spp.,Ciprofloxacin,0,2.226033251,19.67213115,32.29166667,71.3190184,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,1982,69,26,37.68115942
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Salmonella spp.,Ciprofloxacin,2452,92,36,39.13043478
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Salmonella spp.,Ciprofloxacin,2464,107,53,49.53271028
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Salmonella spp.,Ciprofloxacin,2925,96,30,31.25
ARG,Argentina,Region of the Americas,2017,BLOOD,Salmonella spp.,Ciprofloxacin,6657,40,3,7.5
ARG,Argentina,Region of the Americas,2018,BLOOD,Salmonella spp.,Ciprofloxacin,7385,43,1,2.325581395
ARG,Argentina,Region of the Americas,2019,BLOOD,Salmonella spp.,Ciprofloxacin,5783,108,3,2.777777778
ARG,Argentina,Region of the Americas,2020,BLOOD,Salmonella spp.,Ciprofloxacin,7376,264,0,0
BGD,Bangladesh,South-East Asia Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,49,12,0,0
BGD,Bangladesh,South-East Asia Region,2018,BLOOD,Salmonella spp.,Ciprofloxacin,122,73,16,21.91780822
BGD,Bangladesh,South-East Asia Region,2019,BLOOD,Salmonella spp.,Ciprofloxacin,170,98,31,31.63265306
BGD,Bangladesh,South-East Asia Region,2020,BLOOD,Salmonella spp.,Ciprofloxacin,65,48,12,25
CHE,Switzerland,European Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,9259,82,13,15.85365854
CHE,Switzerland,European Region,2018,BLOOD,Salmonella spp.,Ciprofloxacin,19539,140,20,14.28571429
CHE,Switzerland,European Region,2019,BLOOD,Salmonella spp.,Ciprofloxacin,10424,70,8,11.42857143
CHE,Switzerland,European Region,2020,BLOOD,Salmonella spp.,Ciprofloxacin,10256,61,12,19.67213115
IND,India,South-East Asia Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,8532,506,159,31.4229249
IND,India,South-East Asia Region,2018,BLOOD,Salmonella spp.,Ciprofloxacin,14459,619,167,26.97899838
IND,India,South-East Asia Region,2019,BLOOD,Salmonella spp.,Ciprofloxacin,24223,1215,484,39.83539095
IND,India,South-East Asia Region,2020,BLOOD,Salmonella spp.,Ciprofloxacin,12371,278,128,46.04316547
JPN,Japan,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,168145,301,4,1.328903654
JPN,Japan,Western Pacific Region,2018,BLOOD,Salmonella spp.,Ciprofloxacin,126859,260,2,0.769230769
JPN,Japan,Western Pacific Region,2019,BLOOD,Salmonella spp.,Ciprofloxacin,136246,318,3,0.943396226
JPN,Japan,Western Pacific Region,2020,BLOOD,Salmonella spp.,Ciprofloxacin,142185,345,3,0.869565217
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Salmonella spp.,Ciprofloxacin,3518,56,2,3.571428571
