Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gastrointestinal,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Ceftazidime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,STOOL,Salmonella spp.,Ceftazidime,0,2.163675703,2.989543301,4.563969553,11.77944862,,
2018,STOOL,Salmonella spp.,Ceftazidime,0.869565217,2.063425705,2.685652487,3.82282908,11.26760563,,
2019,STOOL,Salmonella spp.,Ceftazidime,0,0.920631534,1.61055539,6.10486797,9.927360775,,
2020,STOOL,Salmonella spp.,Ceftazidime,0,0.153374233,2.775693923,3.886193653,8.974358974,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ceftazidime,653,334,10,2.994011976
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ceftazidime,818,445,15,3.370786517
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ceftazidime,1005,605,26,4.297520661
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ceftazidime,1068,688,16,2.325581395
ARG,Argentina,Region of the Americas,2017,STOOL,Salmonella spp.,Ceftazidime,3022,207,8,3.8647343
ARG,Argentina,Region of the Americas,2018,STOOL,Salmonella spp.,Ceftazidime,3376,219,6,2.739726027
ARG,Argentina,Region of the Americas,2019,STOOL,Salmonella spp.,Ceftazidime,2892,197,2,1.015228426
ARG,Argentina,Region of the Americas,2020,STOOL,Salmonella spp.,Ceftazidime,2201,155,5,3.225806452
CHE,Switzerland,European Region,2017,STOOL,Salmonella spp.,Ceftazidime,591,78,0,0
CHE,Switzerland,European Region,2018,STOOL,Salmonella spp.,Ceftazidime,592,208,4,1.923076923
CHE,Switzerland,European Region,2019,STOOL,Salmonella spp.,Ceftazidime,640,218,0,0
CHE,Switzerland,European Region,2020,STOOL,Salmonella spp.,Ceftazidime,482,163,1,0.613496933
JPN,Japan,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftazidime,418,336,6,1.785714286
JPN,Japan,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftazidime,317,161,4,2.48447205
JPN,Japan,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftazidime,306,215,2,0.930232558
JPN,Japan,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftazidime,241,167,0,0
KOR,Republic of Korea,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftazidime,173,172,13,7.558139535
KOR,Republic of Korea,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftazidime,165,163,14,8.588957055
KOR,Republic of Korea,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftazidime,140,140,11,7.857142857
KOR,Republic of Korea,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftazidime,102,102,4,3.921568627
MLT,Malta,European Region,2017,STOOL,Salmonella spp.,Ceftazidime,99,97,2,2.06185567
MLT,Malta,European Region,2018,STOOL,Salmonella spp.,Ceftazidime,106,102,1,0.980392157
MLT,Malta,European Region,2019,STOOL,Salmonella spp.,Ceftazidime,115,109,1,0.917431193
MLT,Malta,European Region,2020,STOOL,Salmonella spp.,Ceftazidime,152,152,0,0
MYS,Malaysia,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftazidime,1922,271,13,4.79704797
MYS,Malaysia,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftazidime,1999,228,6,2.631578947
MYS,Malaysia,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftazidime,2165,272,6,2.205882353
MYS,Malaysia,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftazidime,2083,291,11,3.780068729
POL,Poland,European Region,2017,STOOL,Salmonella spp.,Ceftazidime,531,81,2,2.469135802
POL,Poland,European Region,2018,STOOL,Salmonella spp.,Ceftazidime,539,115,1,0.869565217
POL,Poland,European Region,2019,STOOL,Salmonella spp.,Ceftazidime,232,21,0,0
POL,Poland,European Region,2020,STOOL,Salmonella spp.,Ceftazidime,156,21,0,0
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ceftazidime,225,201,6,2.985074627
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ceftazidime,166,151,6,3.973509934
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ceftazidime,235,164,11,6.707317073
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ceftazidime,103,92,7,7.608695652
ZAF,South Africa,African Region,2017,STOOL,Salmonella spp.,Ceftazidime,1338,399,47,11.77944862
ZAF,South Africa,African Region,2018,STOOL,Salmonella spp.,Ceftazidime,1481,426,48,11.26760563
ZAF,South Africa,African Region,2019,STOOL,Salmonella spp.,Ceftazidime,1225,413,41,9.927360775
ZAF,South Africa,African Region,2020,STOOL,Salmonella spp.,Ceftazidime,1138,468,42,8.974358974
