Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gastrointestinal,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,STOOL,Salmonella spp.,Ceftriaxone,0,1.052631579,1.762114537,4.225352113,10.1836394,,
2018,STOOL,Salmonella spp.,Ceftriaxone,1.821192053,2.259887006,3.260869565,8.571428571,11.11111111,,
2019,STOOL,Salmonella spp.,Ceftriaxone,0,2.170620899,5.303030303,9.293680297,14.81481481,,
2020,STOOL,Salmonella spp.,Ceftriaxone,0,2.362204724,3.588516746,8.931698774,15.38461538,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ceftriaxone,653,227,4,1.762114537
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ceftriaxone,818,240,11,4.583333333
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ceftriaxone,1005,396,21,5.303030303
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ceftriaxone,1068,418,15,3.588516746
BHR,Bahrain,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ceftriaxone,95,95,1,1.052631579
BHR,Bahrain,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ceftriaxone,205,177,4,2.259887006
BHR,Bahrain,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ceftriaxone,316,271,14,5.166051661
BHR,Bahrain,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ceftriaxone,172,156,4,2.564102564
CHE,Switzerland,European Region,2017,STOOL,Salmonella spp.,Ceftriaxone,591,107,0,0
CHE,Switzerland,European Region,2018,STOOL,Salmonella spp.,Ceftriaxone,592,303,8,2.640264026
CHE,Switzerland,European Region,2019,STOOL,Salmonella spp.,Ceftriaxone,640,326,0,0
CHE,Switzerland,European Region,2020,STOOL,Salmonella spp.,Ceftriaxone,482,250,0,0
FIN,Finland,European Region,2017,STOOL,Salmonella spp.,Ceftriaxone,1181,809,14,1.73053152
FIN,Finland,European Region,2018,STOOL,Salmonella spp.,Ceftriaxone,873,492,9,1.829268293
FIN,Finland,European Region,2019,STOOL,Salmonella spp.,Ceftriaxone,927,512,11,2.1484375
FIN,Finland,European Region,2020,STOOL,Salmonella spp.,Ceftriaxone,455,254,6,2.362204724
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftriaxone,38,35,0,0
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftriaxone,42,35,3,8.571428571
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftriaxone,30,27,4,14.81481481
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftriaxone,26,26,4,15.38461538
MYS,Malaysia,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftriaxone,1922,1859,63,3.388918774
MYS,Malaysia,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftriaxone,1999,1812,33,1.821192053
MYS,Malaysia,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftriaxone,2165,1981,43,2.170620899
MYS,Malaysia,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftriaxone,2083,1993,37,1.856497742
PHL,Philippines,Western Pacific Region,2017,STOOL,Salmonella spp.,Ceftriaxone,62,34,3,8.823529412
PHL,Philippines,Western Pacific Region,2018,STOOL,Salmonella spp.,Ceftriaxone,67,36,4,11.11111111
PHL,Philippines,Western Pacific Region,2019,STOOL,Salmonella spp.,Ceftriaxone,77,39,3,7.692307692
PHL,Philippines,Western Pacific Region,2020,STOOL,Salmonella spp.,Ceftriaxone,43,27,1,3.703703704
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ceftriaxone,225,142,6,4.225352113
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ceftriaxone,166,92,3,3.260869565
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ceftriaxone,235,79,11,13.92405063
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ceftriaxone,103,46,6,13.04347826
ZAF,South Africa,African Region,2017,STOOL,Salmonella spp.,Ceftriaxone,1338,599,61,10.1836394
ZAF,South Africa,African Region,2018,STOOL,Salmonella spp.,Ceftriaxone,1481,602,53,8.803986711
ZAF,South Africa,African Region,2019,STOOL,Salmonella spp.,Ceftriaxone,1225,538,50,9.293680297
ZAF,South Africa,African Region,2020,STOOL,Salmonella spp.,Ceftriaxone,1138,571,51,8.931698774
