Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gastrointestinal,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,STOOL,Salmonella spp.,Ciprofloxacin,0,2.704858664,7.965587045,20.55649241,50.24630542,,
2018,STOOL,Salmonella spp.,Ciprofloxacin,0,3.143310126,8.725804337,13.44273226,43.47826087,,
2019,STOOL,Salmonella spp.,Ciprofloxacin,0,3.195825413,9.253285544,13.84952767,25.64102564,,
2020,STOOL,Salmonella spp.,Ciprofloxacin,0,2.297652147,6.884998223,10.53235364,41.66666667,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,653,468,45,9.615384615
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,818,305,37,12.13114754
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,1005,416,48,11.53846154
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,1068,776,52,6.701030928
ARG,Argentina,Region of the Americas,2017,STOOL,Salmonella spp.,Ciprofloxacin,3022,446,19,4.260089686
ARG,Argentina,Region of the Americas,2018,STOOL,Salmonella spp.,Ciprofloxacin,3376,436,17,3.899082569
ARG,Argentina,Region of the Americas,2019,STOOL,Salmonella spp.,Ciprofloxacin,2892,422,6,1.421800948
ARG,Argentina,Region of the Americas,2020,STOOL,Salmonella spp.,Ciprofloxacin,2201,488,4,0.819672131
BHR,Bahrain,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,95,95,6,6.315789474
BHR,Bahrain,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,205,178,6,3.370786517
BHR,Bahrain,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,316,196,19,9.693877551
BHR,Bahrain,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,172,156,4,2.564102564
CHE,Switzerland,European Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,591,158,17,10.75949367
CHE,Switzerland,European Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,592,397,50,12.59445844
CHE,Switzerland,European Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,640,465,43,9.247311828
CHE,Switzerland,European Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,482,398,44,11.05527638
FIN,Finland,European Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,1181,1171,250,21.34927412
FIN,Finland,European Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,873,388,27,6.958762887
FIN,Finland,European Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,927,583,91,15.60891938
FIN,Finland,European Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,455,357,32,8.963585434
JPN,Japan,Western Pacific Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,418,336,7,2.083333333
JPN,Japan,Western Pacific Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,317,161,1,0.621118012
JPN,Japan,Western Pacific Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,306,215,1,0.465116279
JPN,Japan,Western Pacific Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,241,167,0,0
KOR,Republic of Korea,Western Pacific Region,2017,STOOL,Salmonella spp.,Ciprofloxacin,173,172,5,2.906976744
KOR,Republic of Korea,Western Pacific Region,2018,STOOL,Salmonella spp.,Ciprofloxacin,165,163,5,3.067484663
KOR,Republic of Korea,Western Pacific Region,2019,STOOL,Salmonella spp.,Ciprofloxacin,140,140,5,3.571428571
KOR,Republic of Korea,Western Pacific Region,2020,STOOL,Salmonella spp.,Ciprofloxacin,102,102,2,1.960784314
