Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftazidime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Ceftazidime,1.983298539,16.78093932,34.69387755,50.55935364,96.66666667,,
2018,URINE,Klebsiella pneumoniae,Ceftazidime,4.545779327,19.82656842,33.99209486,54.15577627,82.60869565,,
2019,URINE,Klebsiella pneumoniae,Ceftazidime,4.227405248,19.01893287,33.06451613,52.15968586,79.38931298,,
2020,URINE,Klebsiella pneumoniae,Ceftazidime,4.84628389,20.48392443,34.68395462,54.51436389,91.47286822,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,13558,2653,549,20.69355447
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,22331,4355,1020,23.42135476
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,27055,5453,1161,21.29103246
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,29681,6034,1236,20.48392443
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Ceftazidime,39782,3218,1627,50.55935364
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Ceftazidime,44553,3855,1860,48.24902724
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Ceftazidime,35830,3478,1756,50.48878666
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Ceftazidime,29170,3020,1532,50.72847682
BGD,Bangladesh,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,209,29,18,62.06896552
BGD,Bangladesh,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,412,77,38,49.35064935
BGD,Bangladesh,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,488,85,35,41.17647059
BGD,Bangladesh,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,261,44,17,38.63636364
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,97650,1336,46,3.443113772
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,118114,11954,618,5.169817634
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,139721,14396,730,5.070853015
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,153286,15971,774,4.84628389
FIN,Finland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,281729,3832,76,1.983298539
FIN,Finland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,159588,2313,389,16.8179853
FIN,Finland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,159676,2324,442,19.01893287
FIN,Finland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,146108,1932,425,21.99792961
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,810851,23336,3916,16.78093932
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,863293,24563,4870,19.82656842
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,880701,33819,4777,14.1251959
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,651538,26240,3541,13.49466463
IND,India,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,10034,566,280,49.46996466
IND,India,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,25203,745,458,61.47651007
IND,India,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,47746,943,541,57.37009544
IND,India,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,18235,97,78,80.41237113
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,452366,72699,3523,4.846008886
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,423516,69977,3181,4.545779327
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,453889,75687,4169,5.50821145
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,475584,79319,5155,6.499073362
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,9130,1256,362,28.82165605
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,8554,1299,365,28.09853734
KOR,Republic of Korea,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,8565,1295,334,25.79150579
KOR,Republic of Korea,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,8567,1274,338,26.53061224
MYS,Malaysia,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,19286,5041,1696,33.64411823
MYS,Malaysia,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,19914,5242,1695,32.33498665
MYS,Malaysia,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,19312,4727,1447,30.61138143
MYS,Malaysia,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,18124,5001,1494,29.87402519
NOR,Norway,European Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,2252,740,33,4.459459459
NOR,Norway,European Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,2117,694,39,5.619596542
NOR,Norway,European Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,2187,686,29,4.227405248
NOR,Norway,European Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,3219,699,40,5.722460658
NPL,Nepal,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,295,30,29,96.66666667
NPL,Nepal,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,4866,138,114,82.60869565
NPL,Nepal,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,9953,262,208,79.38931298
NPL,Nepal,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,5975,129,118,91.47286822
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,4377,769,364,47.33420026
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,3636,500,290,58
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,8941,1528,797,52.15968586
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,3343,523,380,72.65774379
PHL,Philippines,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,6689,1685,962,57.09198813
PHL,Philippines,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,8074,1913,1036,54.15577627
PHL,Philippines,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,9132,2414,1281,53.06545153
PHL,Philippines,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,4560,1444,807,55.88642659
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,3860,1041,390,37.46397695
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,5627,1583,861,54.39039798
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,5587,1534,839,54.69361147
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,4464,1462,797,54.51436389
THA,Thailand,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,2250,330,200,60.60606061
THA,Thailand,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,4301,830,370,44.57831325
THA,Thailand,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftazidime,9011,1712,768,44.85981308
THA,Thailand,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftazidime,11131,2333,1062,45.52078868
TUN,Tunisia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftazidime,3523,1127,391,34.69387755
TUN,Tunisia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftazidime,12711,1518,516,33.99209486
