Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Acinetobacter spp.,Meropenem,1.016702977,45.77192164,73.07692308,79.44444444,96.42857143,,
2018,BLOOD,Acinetobacter spp.,Meropenem,0.847457627,49.4267559,66.93736889,77.36515508,90.90909091,,
2019,BLOOD,Acinetobacter spp.,Meropenem,0.494743352,47.69567118,71.14322533,78.89522345,96.50655022,,
2020,BLOOD,Acinetobacter spp.,Meropenem,0.868486352,52.33401095,72.9393695,86.30980097,97.68786127,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Meropenem,1982,68,29,42.64705882
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Meropenem,2452,99,46,46.46464646
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Meropenem,2464,96,40,41.66666667
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Meropenem,2925,124,61,49.19354839
ARG,Argentina,Region of the Americas,2017,BLOOD,Acinetobacter spp.,Meropenem,6657,369,278,75.33875339
ARG,Argentina,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Meropenem,7385,375,283,75.46666667
ARG,Argentina,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Meropenem,5783,291,201,69.07216495
ARG,Argentina,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Meropenem,7376,637,523,82.10361068
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Acinetobacter spp.,Meropenem,634,112,108,96.42857143
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Acinetobacter spp.,Meropenem,841,132,120,90.90909091
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Acinetobacter spp.,Meropenem,1020,229,221,96.50655022
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Acinetobacter spp.,Meropenem,954,346,338,97.68786127
CHE,Switzerland,European Region,2017,BLOOD,Acinetobacter spp.,Meropenem,9259,75,9,12
CHE,Switzerland,European Region,2018,BLOOD,Acinetobacter spp.,Meropenem,19539,126,4,3.174603175
CHE,Switzerland,European Region,2019,BLOOD,Acinetobacter spp.,Meropenem,10424,53,1,1.886792453
CHE,Switzerland,European Region,2020,BLOOD,Acinetobacter spp.,Meropenem,10256,83,9,10.84337349
GEO,Georgia,European Region,2017,BLOOD,Acinetobacter spp.,Meropenem,105,18,14,77.77777778
GEO,Georgia,European Region,2018,BLOOD,Acinetobacter spp.,Meropenem,216,24,20,83.33333333
GEO,Georgia,European Region,2019,BLOOD,Acinetobacter spp.,Meropenem,433,82,63,76.82926829
GEO,Georgia,European Region,2020,BLOOD,Acinetobacter spp.,Meropenem,741,172,117,68.02325581
IND,India,South-East Asia Region,2017,BLOOD,Acinetobacter spp.,Meropenem,8532,331,220,66.4652568
IND,India,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Meropenem,14459,1065,678,63.66197183
IND,India,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Meropenem,24223,1746,1180,67.58304696
IND,India,South-East Asia Region,2020,BLOOD,Acinetobacter spp.,Meropenem,12371,1546,1205,77.94307891
JPN,Japan,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Meropenem,168145,1377,14,1.016702977
JPN,Japan,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Meropenem,126859,1770,15,0.847457627
JPN,Japan,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Meropenem,136246,1617,8,0.494743352
JPN,Japan,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Meropenem,142185,1612,14,0.868486352
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Meropenem,3518,235,188,80
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Meropenem,3519,247,193,78.13765182
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Meropenem,3646,225,172,76.44444444
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Meropenem,4095,217,156,71.88940092
MKD,North Macedonia,European Region,2017,BLOOD,Acinetobacter spp.,Meropenem,175,20,15,75
MKD,North Macedonia,European Region,2018,BLOOD,Acinetobacter spp.,Meropenem,176,23,17,73.91304348
MKD,North Macedonia,European Region,2019,BLOOD,Acinetobacter spp.,Meropenem,276,36,30,83.33333333
MKD,North Macedonia,European Region,2020,BLOOD,Acinetobacter spp.,Meropenem,293,39,38,97.43589744
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Acinetobacter spp.,Meropenem,25686,2144,1031,48.08768657
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Meropenem,26268,2089,1040,49.78458593
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Meropenem,25194,1697,803,47.31879788
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Acinetobacter spp.,Meropenem,20249,1609,826,51.33623369
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Meropenem,1043,98,54,55.10204082
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Meropenem,631,57,36,63.15789474
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Meropenem,1007,135,78,57.77777778
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Meropenem,876,67,55,82.08955224
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Meropenem,2323,52,37,71.15384615
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Meropenem,7410,47,33,70.21276596
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Meropenem,8980,227,170,74.88986784
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Meropenem,5623,280,177,63.21428571
