Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Imipenem,0,0,0.387596899,1.535523051,16.89059501,,
2018,BLOOD,Escherichia coli,Imipenem,0,0.038923786,0.472095768,2.887537994,21.68141593,,
2019,BLOOD,Escherichia coli,Imipenem,0,0.094894095,1.117318436,3.63700565,27.60700948,,
2020,BLOOD,Escherichia coli,Imipenem,0,0.034772773,0.772514739,2.155252413,28.60273973,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Imipenem,1982,620,9,1.451612903
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Imipenem,2452,762,10,1.312335958
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Imipenem,2464,716,6,0.837988827
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Imipenem,2925,741,15,2.024291498
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Imipenem,6657,1806,7,0.387596899
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Imipenem,7385,2097,4,0.190748689
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Imipenem,5783,1705,10,0.586510264
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Imipenem,7376,1929,8,0.414722654
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Imipenem,634,183,2,1.092896175
