Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftazidime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,3.044488821,31.77840903,54.11764706,77.78340081,94.73684211,,
2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,3.254524839,31.30061247,55.1061008,70.6829924,96.51162791,,
2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,3.776399466,33.02663064,55.16637478,77.00619626,95.03916449,,
2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,4.331119899,34.09058321,61.40350877,77.39708394,99.15254237,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,1982,495,140,28.28282828
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,2452,560,165,29.46428571
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,2464,519,158,30.44315992
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,2925,621,228,36.71497585
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,6657,1320,743,56.28787879
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,7385,1508,831,55.1061008
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,5783,1142,630,55.16637478
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,7376,1618,955,59.02348578
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,634,147,85,57.82312925
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,841,200,136,68
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,1020,211,163,77.25118483
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,954,207,143,69.0821256
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,9259,947,59,6.230200634
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,19539,2049,154,7.515861396
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,10424,1211,92,7.59702725
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,10256,1275,84,6.588235294
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,102,57,54,94.73684211
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,967,344,332,96.51162791
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,1114,383,364,95.03916449
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,901,186,174,93.5483871
GEO,Georgia,European Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,105,36,32,88.88888889
GEO,Georgia,European Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,216,71,54,76.05633803
GEO,Georgia,European Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,433,133,102,76.69172932
GEO,Georgia,European Region,2020,BLOOD,Klebsiella pneumoniae,Ceftazidime,741,223,167,74.88789238
IND,India,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,8532,247,199,80.56680162
IND,India,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Ceftazidime,14459,1253,914,72.94493216
IND,India,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Ceftazidime,24223,2186,1678,76.76120769
