Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Colistin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Colistin,0,1.785714286,5.35483871,9.843594836,36.36363636,,
2018,BLOOD,Klebsiella pneumoniae,Colistin,0,0.824175824,2.202287411,9.580789654,27.5862069,,
2019,BLOOD,Klebsiella pneumoniae,Colistin,0,0,1.819116796,11.85573686,39.65517241,,
2020,BLOOD,Klebsiella pneumoniae,Colistin,0,0,3.7395361,14.74091521,32.91139241,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Colistin,6657,1272,100,7.86163522
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Colistin,7385,1457,135,9.265614276
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Colistin,5783,1053,92,8.73694207
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Colistin,7376,1486,193,12.98788694
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,196,33,12,36.36363636
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,633,29,8,27.5862069
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,780,58,23,39.65517241
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,568,79,26,32.91139241
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,9259,138,0,0
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,19539,237,3,1.265822785
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,10424,76,0,0
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,10256,51,0,0
GEO,Georgia,European Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,105,19,3,15.78947368
GEO,Georgia,European Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,216,11,0,0
GEO,Georgia,European Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,433,13,0,0
GEO,Georgia,European Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,741,42,0,0
MKD,North Macedonia,European Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,175,13,1,7.692307692
MKD,North Macedonia,European Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,176,30,0,0
MKD,North Macedonia,European Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,276,28,0,0
MKD,North Macedonia,European Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,293,17,1,5.882352941
MLT,Malta,European Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,574,42,1,2.380952381
MLT,Malta,European Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,1116,69,2,2.898550725
MLT,Malta,European Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,624,47,1,2.127659574
MLT,Malta,European Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,530,63,1,1.587301587
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,25686,224,0,0
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,26268,182,2,1.098901099
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,25194,51,0,0
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,20249,31,0,0
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,1043,93,5,5.376344086
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,631,38,4,10.52631579
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,1007,88,3,3.409090909
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,876,25,5,20
PHL,Philippines,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,5103,311,8,2.572347267
PHL,Philippines,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,5595,332,5,1.506024096
PHL,Philippines,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,6468,331,5,1.510574018
PHL,Philippines,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,4276,488,23,4.713114754
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,1491,143,36,25.17482517
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,2420,410,90,21.95121951
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,2528,485,136,28.04123711
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Colistin,2458,399,99,24.81203008
THA,Thailand,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Colistin,1349,120,0,0
THA,Thailand,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Colistin,2629,34,0,0
THA,Thailand,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Colistin,5463,250,0,0
