Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Levofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Salmonella spp.,Levofloxacin,1.228878648,2.803738318,7.692307692,15,64.28571429,,
2018,BLOOD,Salmonella spp.,Levofloxacin,0,0,0.917431193,13.33333333,13.63636364,,
2019,BLOOD,Salmonella spp.,Levofloxacin,0,0.687285223,4.347826087,10.52631579,40,,
2020,BLOOD,Salmonella spp.,Levofloxacin,0.74906367,6.666666667,15.78947368,18.75,33.33333333,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Salmonella spp.,Levofloxacin,1982,14,9,64.28571429
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Salmonella spp.,Levofloxacin,2452,22,3,13.63636364
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Salmonella spp.,Levofloxacin,2464,15,6,40
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Salmonella spp.,Levofloxacin,2925,21,7,33.33333333
CHE,Switzerland,European Region,2017,BLOOD,Salmonella spp.,Levofloxacin,9259,20,3,15
CHE,Switzerland,European Region,2018,BLOOD,Salmonella spp.,Levofloxacin,19539,60,8,13.33333333
CHE,Switzerland,European Region,2019,BLOOD,Salmonella spp.,Levofloxacin,10424,19,2,10.52631579
CHE,Switzerland,European Region,2020,BLOOD,Salmonella spp.,Levofloxacin,10256,19,3,15.78947368
JPN,Japan,Western Pacific Region,2017,BLOOD,Salmonella spp.,Levofloxacin,168145,651,8,1.228878648
JPN,Japan,Western Pacific Region,2018,BLOOD,Salmonella spp.,Levofloxacin,126859,545,5,0.917431193
JPN,Japan,Western Pacific Region,2019,BLOOD,Salmonella spp.,Levofloxacin,136246,582,4,0.687285223
JPN,Japan,Western Pacific Region,2020,BLOOD,Salmonella spp.,Levofloxacin,142185,534,4,0.74906367
PHL,Philippines,Western Pacific Region,2017,BLOOD,Salmonella spp.,Levofloxacin,5103,107,3,2.803738318
PHL,Philippines,Western Pacific Region,2018,BLOOD,Salmonella spp.,Levofloxacin,5595,11,0,0
PHL,Philippines,Western Pacific Region,2019,BLOOD,Salmonella spp.,Levofloxacin,6468,23,1,4.347826087
PHL,Philippines,Western Pacific Region,2020,BLOOD,Salmonella spp.,Levofloxacin,4276,16,3,18.75
THA,Thailand,South-East Asia Region,2017,BLOOD,Salmonella spp.,Levofloxacin,1349,13,1,7.692307692
THA,Thailand,South-East Asia Region,2018,BLOOD,Salmonella spp.,Levofloxacin,2629,31,0,0
THA,Thailand,South-East Asia Region,2019,BLOOD,Salmonella spp.,Levofloxacin,5463,56,0,0
THA,Thailand,South-East Asia Region,2020,BLOOD,Salmonella spp.,Levofloxacin,6159,60,4,6.666666667
