Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gastrointestinal,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,STOOL,Salmonella spp.,Cefotaxime,0,3.571428571,4.871060172,10.46511628,12.72727273,,
2018,STOOL,Salmonella spp.,Cefotaxime,0.346020761,3.105590062,4.081632653,10.42944785,12.5,,
2019,STOOL,Salmonella spp.,Cefotaxime,0,1.860465116,3.597122302,7.913669065,11.76470588,,
2020,STOOL,Salmonella spp.,Cefotaxime,0,0,3.218390805,5.555555556,8.974358974,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Cefotaxime,653,278,11,3.956834532
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Cefotaxime,818,245,10,4.081632653
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Cefotaxime,1005,412,19,4.611650485
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Cefotaxime,1068,468,10,2.136752137
ARG,Argentina,Region of the Americas,2017,STOOL,Salmonella spp.,Cefotaxime,3022,148,15,10.13513514
ARG,Argentina,Region of the Americas,2018,STOOL,Salmonella spp.,Cefotaxime,3376,160,17,10.625
ARG,Argentina,Region of the Americas,2019,STOOL,Salmonella spp.,Cefotaxime,2892,139,5,3.597122302
ARG,Argentina,Region of the Americas,2020,STOOL,Salmonella spp.,Cefotaxime,2201,116,10,8.620689655
CHE,Switzerland,European Region,2017,STOOL,Salmonella spp.,Cefotaxime,591,12,0,0
CHE,Switzerland,European Region,2018,STOOL,Salmonella spp.,Cefotaxime,592,42,1,2.380952381
CHE,Switzerland,European Region,2019,STOOL,Salmonella spp.,Cefotaxime,640,37,0,0
CHE,Switzerland,European Region,2020,STOOL,Salmonella spp.,Cefotaxime,482,44,0,0
JPN,Japan,Western Pacific Region,2017,STOOL,Salmonella spp.,Cefotaxime,418,336,12,3.571428571
JPN,Japan,Western Pacific Region,2018,STOOL,Salmonella spp.,Cefotaxime,317,161,5,3.105590062
JPN,Japan,Western Pacific Region,2019,STOOL,Salmonella spp.,Cefotaxime,306,215,4,1.860465116
JPN,Japan,Western Pacific Region,2020,STOOL,Salmonella spp.,Cefotaxime,241,167,0,0
KOR,Republic of Korea,Western Pacific Region,2017,STOOL,Salmonella spp.,Cefotaxime,173,172,18,10.46511628
KOR,Republic of Korea,Western Pacific Region,2018,STOOL,Salmonella spp.,Cefotaxime,165,163,17,10.42944785
KOR,Republic of Korea,Western Pacific Region,2019,STOOL,Salmonella spp.,Cefotaxime,140,140,15,10.71428571
KOR,Republic of Korea,Western Pacific Region,2020,STOOL,Salmonella spp.,Cefotaxime,102,102,4,3.921568627
MYS,Malaysia,Western Pacific Region,2017,STOOL,Salmonella spp.,Cefotaxime,1922,349,17,4.871060172
MYS,Malaysia,Western Pacific Region,2018,STOOL,Salmonella spp.,Cefotaxime,1999,285,9,3.157894737
MYS,Malaysia,Western Pacific Region,2019,STOOL,Salmonella spp.,Cefotaxime,2165,369,11,2.98102981
MYS,Malaysia,Western Pacific Region,2020,STOOL,Salmonella spp.,Cefotaxime,2083,435,14,3.218390805
PHL,Philippines,Western Pacific Region,2017,STOOL,Salmonella spp.,Cefotaxime,62,32,4,12.5
PHL,Philippines,Western Pacific Region,2018,STOOL,Salmonella spp.,Cefotaxime,67,32,4,12.5
PHL,Philippines,Western Pacific Region,2019,STOOL,Salmonella spp.,Cefotaxime,77,17,2,11.76470588
PHL,Philippines,Western Pacific Region,2020,STOOL,Salmonella spp.,Cefotaxime,43,18,1,5.555555556
POL,Poland,European Region,2017,STOOL,Salmonella spp.,Cefotaxime,531,288,3,1.041666667
POL,Poland,European Region,2018,STOOL,Salmonella spp.,Cefotaxime,539,289,1,0.346020761
POL,Poland,European Region,2019,STOOL,Salmonella spp.,Cefotaxime,232,155,0,0
POL,Poland,European Region,2020,STOOL,Salmonella spp.,Cefotaxime,156,81,0,0
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,STOOL,Salmonella spp.,Cefotaxime,225,110,14,12.72727273
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,STOOL,Salmonella spp.,Cefotaxime,166,99,6,6.060606061
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,STOOL,Salmonella spp.,Cefotaxime,235,139,11,7.913669065
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,STOOL,Salmonella spp.,Cefotaxime,103,78,7,8.974358974
