Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Cefotaxime,3.311258278,19.51656222,31.97424893,47.46945899,99.08256881,,
2018,URINE,Escherichia coli,Cefotaxime,3.443429375,16.93789714,34.64975845,41.93441537,78.65931608,,
2019,URINE,Escherichia coli,Cefotaxime,3.064623584,15.30668127,37.53782669,45.40394973,80.35350102,,
2020,URINE,Escherichia coli,Cefotaxime,3.492063492,16.16322702,35.18442342,46.77623262,78.94736842,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Cefotaxime,13558,6524,2086,31.97424893
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Cefotaxime,22331,8280,2869,34.64975845
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Cefotaxime,27055,13370,4122,30.8302169
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Cefotaxime,29681,14354,4241,29.54577121
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Cefotaxime,39782,16506,2528,15.3156428
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Cefotaxime,44553,19252,2750,14.28423021
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Cefotaxime,35830,14273,2137,14.97232537
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Cefotaxime,29170,10660,1723,16.16322702
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Cefotaxime,97650,898,46,5.122494432
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Cefotaxime,118114,7139,383,5.364897044
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Cefotaxime,139721,7748,441,5.69179143
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Cefotaxime,153286,6557,353,5.383559555
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Cefotaxime,810851,151814,22429,14.77399976
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Cefotaxime,863293,157062,26603,16.93789714
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Cefotaxime,880701,221371,24789,11.19794372
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Cefotaxime,651538,176994,18116,10.23537521
