Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Imipenem,0,0.041829081,0.525394046,2.424410029,29.71839425,,
2018,URINE,Escherichia coli,Imipenem,0.007692801,0.072048268,1.084529506,3.997692899,32.15162258,,
2019,URINE,Escherichia coli,Imipenem,0.007302202,0.098691414,0.7239819,3.90990228,28.12544345,,
2020,URINE,Escherichia coli,Imipenem,0.013039664,0.122671313,1.247050893,5.389957106,20.53067701,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Imipenem,13558,8670,44,0.507497116
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Imipenem,22331,14071,73,0.518797527
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Imipenem,27055,15406,73,0.473841361
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Imipenem,29681,18875,91,0.482119205
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Imipenem,39782,19806,31,0.156518227
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Imipenem,44553,23434,30,0.128019118
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Imipenem,35830,21413,28,0.130761687
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Imipenem,29170,16102,27,0.167681033
BGD,Bangladesh,South-East Asia Region,2017,URINE,Escherichia coli,Imipenem,209,100,7,7
BGD,Bangladesh,South-East Asia Region,2018,URINE,Escherichia coli,Imipenem,412,289,34,11.76470588
