Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Meropenem,0,0.025060954,0.364543415,1.60225827,12.33595801,,
2018,URINE,Escherichia coli,Meropenem,0,0.041945818,0.718846144,3.107299688,38.72872525,,
2019,URINE,Escherichia coli,Meropenem,0,0.027985727,0.328193341,2.605320375,17.21700987,,
2020,URINE,Escherichia coli,Meropenem,0,0.04470794,0.582071216,2.64371833,16.62059433,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Meropenem,13558,9075,46,0.506887052
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Meropenem,22331,14727,114,0.774088409
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Meropenem,27055,17690,88,0.49745619
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Meropenem,29681,19240,130,0.675675676
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Meropenem,39782,19802,44,0.222199778
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Meropenem,44553,23408,50,0.213602187
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Meropenem,35830,21393,34,0.158930491
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Meropenem,29170,16017,23,0.143597428
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Meropenem,97650,4591,0,0
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Meropenem,118114,50660,6,0.011843664
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Meropenem,139721,54413,4,0.007351184
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Meropenem,153286,64229,11,0.01712622
FIN,Finland,European Region,2017,URINE,Escherichia coli,Meropenem,281729,41591,10,0.024043663
FIN,Finland,European Region,2018,URINE,Escherichia coli,Meropenem,159588,9144,0,0
FIN,Finland,European Region,2019,URINE,Escherichia coli,Meropenem,159676,11546,3,0.025983024
FIN,Finland,European Region,2020,URINE,Escherichia coli,Meropenem,146108,11873,0,0
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Meropenem,810851,276950,130,0.046939881
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Meropenem,863293,296601,125,0.04214416
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Meropenem,880701,397232,157,0.039523503
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Meropenem,651538,300783,135,0.044882856
IND,India,South-East Asia Region,2017,URINE,Escherichia coli,Meropenem,10034,381,47,12.33595801
IND,India,South-East Asia Region,2018,URINE,Escherichia coli,Meropenem,25203,8637,3345,38.72872525
IND,India,South-East Asia Region,2019,URINE,Escherichia coli,Meropenem,47746,16414,2826,17.21700987
IND,India,South-East Asia Region,2020,URINE,Escherichia coli,Meropenem,18235,8682,1443,16.62059433
JPN,Japan,Western Pacific Region,2017,URINE,Escherichia coli,Meropenem,452366,373911,291,0.077826007
JPN,Japan,Western Pacific Region,2018,URINE,Escherichia coli,Meropenem,423516,346704,142,0.040957128
