Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ceftazidime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Ceftazidime,1.931284423,11.06745158,24.15066109,47.88401254,100,,
2018,URINE,Escherichia coli,Ceftazidime,2.740688686,13.52226624,27.45979916,49.85218389,84.29118774,,
2019,URINE,Escherichia coli,Ceftazidime,2.331778814,11.60271877,26.70296038,48.67812611,76.5576324,,
2020,URINE,Escherichia coli,Ceftazidime,2.579365079,12.49288284,29.62305252,47.71020115,81.20805369,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ceftazidime,13558,8798,1643,18.6746988
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ceftazidime,22331,14764,2726,18.46383094
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ceftazidime,27055,17712,3244,18.31526649
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ceftazidime,29681,19782,3579,18.09220503
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Ceftazidime,39782,20885,2364,11.31912856
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Ceftazidime,44553,24787,2956,11.92560616
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Ceftazidime,35830,21462,2560,11.92805889
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Ceftazidime,29170,15938,2187,13.72192245
BGD,Bangladesh,South-East Asia Region,2017,URINE,Escherichia coli,Ceftazidime,209,87,48,55.17241379
BGD,Bangladesh,South-East Asia Region,2018,URINE,Escherichia coli,Ceftazidime,412,254,147,57.87401575
BGD,Bangladesh,South-East Asia Region,2019,URINE,Escherichia coli,Ceftazidime,488,347,179,51.58501441
BGD,Bangladesh,South-East Asia Region,2020,URINE,Escherichia coli,Ceftazidime,261,185,102,55.13513514
