Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Ciprofloxacin,8.677482793,22.18111803,39.0321651,60.81536388,76.12885463,,
2018,URINE,Escherichia coli,Ciprofloxacin,8.413903316,22.92671271,38.88958591,54.80910576,92.88679245,,
2019,URINE,Escherichia coli,Ciprofloxacin,8.434777105,22.16258705,40.66686054,57.96715645,74.19863036,,
2020,URINE,Escherichia coli,Ciprofloxacin,8.055555556,22.69606793,37.52623299,50.32873057,70.84657073,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ciprofloxacin,13558,9554,3189,33.37868955
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ciprofloxacin,22331,15063,5788,38.42528049
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ciprofloxacin,27055,17801,7521,42.25043537
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ciprofloxacin,29681,20156,6429,31.89620957
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Ciprofloxacin,39782,33330,6911,20.73507351
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Ciprofloxacin,44553,37341,8334,22.318631
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Ciprofloxacin,35830,30897,7132,23.08314723
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Ciprofloxacin,29170,24708,5883,23.81010199
BGD,Bangladesh,South-East Asia Region,2017,URINE,Escherichia coli,Ciprofloxacin,209,106,61,57.54716981
BGD,Bangladesh,South-East Asia Region,2018,URINE,Escherichia coli,Ciprofloxacin,412,272,170,62.5
BGD,Bangladesh,South-East Asia Region,2019,URINE,Escherichia coli,Ciprofloxacin,488,376,236,62.76595745
BGD,Bangladesh,South-East Asia Region,2020,URINE,Escherichia coli,Ciprofloxacin,261,199,117,58.79396985
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Ciprofloxacin,97650,10019,1419,14.16309013
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Ciprofloxacin,118114,97819,13684,13.98910232
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Ciprofloxacin,139721,115023,14728,12.80439564
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Ciprofloxacin,153286,126546,15556,12.29276311
FIN,Finland,European Region,2017,URINE,Escherichia coli,Ciprofloxacin,281729,117972,10237,8.677482793
FIN,Finland,European Region,2018,URINE,Escherichia coli,Ciprofloxacin,159588,87605,7371,8.413903316
FIN,Finland,European Region,2019,URINE,Escherichia coli,Ciprofloxacin,159676,94798,7996,8.434777105
FIN,Finland,European Region,2020,URINE,Escherichia coli,Ciprofloxacin,146108,93235,7594,8.145009921
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Ciprofloxacin,810851,767049,80686,10.51901508
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Ciprofloxacin,863293,816875,89172,10.91623565
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Ciprofloxacin,880701,822931,87265,10.60416973
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Ciprofloxacin,651538,605515,66023,10.90361098
IND,India,South-East Asia Region,2017,URINE,Escherichia coli,Ciprofloxacin,10034,3632,2765,76.12885463
IND,India,South-East Asia Region,2018,URINE,Escherichia coli,Ciprofloxacin,25203,10356,7985,77.10505987
IND,India,South-East Asia Region,2019,URINE,Escherichia coli,Ciprofloxacin,47746,31103,23078,74.19863036
IND,India,South-East Asia Region,2020,URINE,Escherichia coli,Ciprofloxacin,18235,10527,7414,70.42842215
JPN,Japan,Western Pacific Region,2017,URINE,Escherichia coli,Ciprofloxacin,452366,175535,68712,39.14433019
JPN,Japan,Western Pacific Region,2018,URINE,Escherichia coli,Ciprofloxacin,423516,178044,65155,36.59488666
JPN,Japan,Western Pacific Region,2019,URINE,Escherichia coli,Ciprofloxacin,453889,200811,74267,36.98353178
JPN,Japan,Western Pacific Region,2020,URINE,Escherichia coli,Ciprofloxacin,475584,220505,82150,37.25539103
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Escherichia coli,Ciprofloxacin,9130,7874,3221,40.90678181
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Escherichia coli,Ciprofloxacin,8554,7255,2954,40.71674707
