Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ertapenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Ertapenem,0.013721186,0.415870486,0.818289185,2.213788074,28.45982143,,
2018,URINE,Escherichia coli,Ertapenem,0.055397826,0.298774289,1.643835616,3.916437878,33.51123247,,
2019,URINE,Escherichia coli,Ertapenem,0.055139262,0.243086832,0.895080946,2.072338817,21.17732558,,
2020,URINE,Escherichia coli,Ertapenem,0.07986051,0.252699622,1.242158872,5.751955106,34.69387755,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ertapenem,13558,4476,35,0.781948168
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ertapenem,22331,8035,135,1.680149347
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ertapenem,27055,12848,115,0.895080946
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ertapenem,29681,16101,200,1.242158872
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Ertapenem,97650,7288,1,0.013721186
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Ertapenem,118114,72205,40,0.055397826
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Ertapenem,139721,70730,39,0.055139262
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Ertapenem,153286,75131,60,0.07986051
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Ertapenem,810851,328193,490,0.149302392
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Ertapenem,863293,351561,455,0.129422774
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Ertapenem,880701,439827,630,0.143238137
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Ertapenem,651538,339155,557,0.164231693
IND,India,South-East Asia Region,2017,URINE,Escherichia coli,Ertapenem,10034,2688,765,28.45982143
IND,India,South-East Asia Region,2018,URINE,Escherichia coli,Ertapenem,25203,8057,2700,33.51123247
IND,India,South-East Asia Region,2019,URINE,Escherichia coli,Ertapenem,47746,13760,2914,21.17732558
IND,India,South-East Asia Region,2020,URINE,Escherichia coli,Ertapenem,18235,6439,1491,23.15576953
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Escherichia coli,Ertapenem,9130,7874,4,0.050800102
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Escherichia coli,Ertapenem,8554,7255,15,0.206753963
KOR,Republic of Korea,Western Pacific Region,2019,URINE,Escherichia coli,Ertapenem,8565,7270,7,0.096286107
KOR,Republic of Korea,Western Pacific Region,2020,URINE,Escherichia coli,Ertapenem,8567,7293,11,0.150829563
MYS,Malaysia,Western Pacific Region,2017,URINE,Escherichia coli,Ertapenem,19286,11854,97,0.818289185
MYS,Malaysia,Western Pacific Region,2018,URINE,Escherichia coli,Ertapenem,19914,11118,87,0.782514841
MYS,Malaysia,Western Pacific Region,2019,URINE,Escherichia coli,Ertapenem,19312,11418,97,0.849535821
MYS,Malaysia,Western Pacific Region,2020,URINE,Escherichia coli,Ertapenem,18124,10983,66,0.600928708
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ertapenem,4377,541,9,1.663585952
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ertapenem,3636,365,6,1.643835616
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ertapenem,8941,1580,21,1.329113924
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ertapenem,3343,98,34,34.69387755
PHL,Philippines,Western Pacific Region,2017,URINE,Escherichia coli,Ertapenem,6689,2458,67,2.725793328
PHL,Philippines,Western Pacific Region,2018,URINE,Escherichia coli,Ertapenem,8074,3823,145,3.792832854
PHL,Philippines,Western Pacific Region,2019,URINE,Escherichia coli,Ertapenem,9132,5348,238,4.45026178
PHL,Philippines,Western Pacific Region,2020,URINE,Escherichia coli,Ertapenem,4560,2665,196,7.354596623
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ertapenem,3860,1171,112,9.564474808
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ertapenem,5627,2797,113,4.040042903
