Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Cefotaxime,4.594594595,23.03811381,39.01273885,54.3818604,96,,
2018,URINE,Klebsiella pneumoniae,Cefotaxime,4.697986577,26.17642926,41.80138568,52.31235305,71.02244389,,
2019,URINE,Klebsiella pneumoniae,Cefotaxime,4.145818442,20.3865326,41.77606178,52.84680436,68.9306764,,
2020,URINE,Klebsiella pneumoniae,Cefotaxime,4.052863436,18.78676,38.85400314,52.06453652,83.15789474,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,13558,1976,568,28.74493927
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,22331,2568,807,31.42523364
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,27055,4129,1123,27.19786873
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,29681,4453,1117,25.08421289
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Cefotaxime,39782,2584,1401,54.21826625
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Cefotaxime,44553,2910,1513,51.99312715
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Cefotaxime,35830,2426,1368,56.38911789
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Cefotaxime,29170,2118,1112,52.50236072
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,97650,150,7,4.666666667
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,118114,1192,56,4.697986577
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,139721,1399,58,4.145818442
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,153286,1135,46,4.052863436
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,810851,18908,3277,17.33128834
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,863293,19620,4106,20.92762487
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,880701,27867,3783,13.57519647
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,651538,22211,2774,12.4893071
IND,India,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,10034,1852,1521,82.12742981
IND,India,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,25203,2005,1424,71.02244389
IND,India,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,47746,7126,4912,68.9306764
IND,India,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,18235,2933,2070,70.57620184
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,452366,56311,5376,9.546980164
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,423516,53518,4450,8.314959453
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,453889,57052,4825,8.457196943
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,475584,59238,5534,9.341976434
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,9130,1256,490,39.01273885
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,8554,1299,543,41.80138568
KOR,Republic of Korea,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,8565,1295,541,41.77606178
KOR,Republic of Korea,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,8567,1274,495,38.85400314
MYS,Malaysia,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,19286,4845,1816,37.48194014
MYS,Malaysia,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,19914,4922,1769,35.94067452
MYS,Malaysia,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,19312,4846,1639,33.82170863
MYS,Malaysia,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,18124,4717,1560,33.07186771
NOR,Norway,European Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,2252,740,34,4.594594595
NOR,Norway,European Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,2117,694,37,5.331412104
NOR,Norway,European Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,2187,686,29,4.227405248
NOR,Norway,European Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,3219,699,41,5.865522175
NPL,Nepal,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,295,50,48,96
NPL,Nepal,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,4866,171,90,52.63157895
NPL,Nepal,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,9953,381,192,50.39370079
NPL,Nepal,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,5975,169,69,40.82840237
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,4377,378,167,44.17989418
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,3636,257,116,45.13618677
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,8941,550,295,53.63636364
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,3343,190,158,83.15789474
PHL,Philippines,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,6689,846,525,62.05673759
PHL,Philippines,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,8074,1032,635,61.53100775
PHL,Philippines,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,9132,1404,789,56.1965812
PHL,Philippines,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,4560,700,398,56.85714286
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,3860,473,258,54.54545455
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,5627,1068,593,55.52434457
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,5587,1118,582,52.05724508
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,4464,1168,603,51.62671233
THA,Thailand,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,2250,432,220,50.92592593
THA,Thailand,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,4301,884,419,47.39819005
THA,Thailand,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,9011,1711,835,48.80187025
THA,Thailand,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,11131,2110,1026,48.62559242
TUN,Tunisia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefotaxime,3523,1083,384,35.45706371
TUN,Tunisia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefotaxime,12711,1985,660,33.24937028
TUN,Tunisia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefotaxime,5444,706,244,34.56090652
TUN,Tunisia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefotaxime,5309,681,243,35.68281938
