Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,4.625557077,12.61790029,31.29973475,39.50484392,77.77777778,,
2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,4.121755389,15.66553195,32.4865281,40,64,,
2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,4.399687133,13.26640125,32.75957801,39.54297069,60.24748647,,
2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,4.989886866,13.89395915,33.20251177,53.84615385,59.15627996,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,13558,2829,428,15.12902086
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,22331,4443,1320,29.70965564
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,27055,5468,1805,33.0102414
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,29681,6129,1427,23.28275412
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,39782,3958,1452,36.68519454
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,44553,4557,1675,36.75663814
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,35830,4121,1596,38.72846397
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,29170,3686,1482,40.20618557
BGD,Bangladesh,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,209,36,14,38.88888889
BGD,Bangladesh,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,412,84,39,46.42857143
BGD,Bangladesh,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,488,88,44,50
BGD,Bangladesh,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,261,46,26,56.52173913
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,97650,1521,109,7.166337936
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,118114,13486,1047,7.763606703
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,139721,17808,1159,6.508310872
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,153286,19556,1303,6.662916752
FIN,Finland,European Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,281729,12417,763,6.144801482
FIN,Finland,European Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,159588,11122,546,4.909188995
FIN,Finland,European Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,159676,10735,569,5.30041919
FIN,Finland,European Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,146108,10802,623,5.767450472
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,810851,43787,5525,12.61790029
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,863293,46414,7271,15.66553195
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,880701,57770,7664,13.26640125
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,651538,46020,6394,13.89395915
IND,India,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,10034,1566,1173,74.90421456
IND,India,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,25203,1850,1134,61.2972973
IND,India,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,47746,8020,4804,59.90024938
IND,India,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,18235,3043,1711,56.22740716
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,452366,34331,1588,4.625557077
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,423516,36368,1499,4.121755389
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,453889,40912,1800,4.399687133
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,475584,44991,2245,4.989886866
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,9130,1256,401,31.92675159
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,8554,1299,422,32.4865281
KOR,Republic of Korea,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,8565,1295,413,31.89189189
KOR,Republic of Korea,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,8567,1274,423,33.20251177
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,124,13,6,46.15384615
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,120,10,4,40
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,175,18,7,38.88888889
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,253,26,14,53.84615385
LBN,Lebanon,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,2017,60,17,28.33333333
LBN,Lebanon,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,3964,497,115,23.138833
LBN,Lebanon,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,1363,254,82,32.28346457
LBN,Lebanon,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ciprofloxacin,3918,318,81,25.47169811
MYS,Malaysia,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ciprofloxacin,19286,5000,935,18.7
MYS,Malaysia,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ciprofloxacin,19914,5226,882,16.8771527
MYS,Malaysia,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ciprofloxacin,19312,4898,849,17.33360555
