Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Ciprofloxacin,17.33160141,29.41176471,42.16027875,48.40764331,68.49434291,,
2018,BLOOD,Escherichia coli,Ciprofloxacin,17.71061962,34.14422242,43.18181818,54.48798989,74.07407407,,
2019,BLOOD,Escherichia coli,Ciprofloxacin,16.38773819,30.69248826,44.25500371,51.06382979,81.63538874,,
2020,BLOOD,Escherichia coli,Ciprofloxacin,15.74908242,32.5,44.02985075,53.03225806,73.37526205,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,1982,628,304,48.40764331
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,2452,791,431,54.48798989
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,2464,759,372,49.01185771
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,2925,775,411,53.03225806
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Ciprofloxacin,6657,1803,590,32.72323905
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Ciprofloxacin,7385,2107,702,33.31751305
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Ciprofloxacin,5783,1704,523,30.69248826
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Ciprofloxacin,7376,1953,660,33.79416283
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,634,185,48,25.94594595
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,841,243,60,24.69135802
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,1020,289,86,29.75778547
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,954,179,35,19.55307263
CHE,Switzerland,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,9259,5389,934,17.33160141
CHE,Switzerland,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,19539,11846,2098,17.71061962
CHE,Switzerland,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,10424,6035,989,16.38773819
CHE,Switzerland,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,10256,5994,944,15.74908242
GEO,Georgia,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,105,17,5,29.41176471
GEO,Georgia,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,216,49,24,48.97959184
GEO,Georgia,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,433,78,33,42.30769231
GEO,Georgia,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,741,134,59,44.02985075
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,8532,1149,787,68.49434291
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,14459,1841,1325,71.97175448
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,24223,4321,3193,73.89493173
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,12371,2330,1648,70.72961373
JOR,Jordan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,18,10,6,60
JOR,Jordan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,345,45,27,60
JOR,Jordan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,627,93,56,60.21505376
JOR,Jordan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,446,58,31,53.44827586
JPN,Japan,Western Pacific Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,168145,44410,13051,29.38752533
JPN,Japan,Western Pacific Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,126859,37823,11161,29.50850012
JPN,Japan,Western Pacific Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,136246,44133,13524,30.64373598
JPN,Japan,Western Pacific Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,142185,50945,15424,30.27578761
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,3518,1772,635,35.83521445
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,3519,1724,736,42.69141531
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,3646,1939,797,41.10366168
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,4095,2209,912,41.28564962
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,209,106,33,31.13207547
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,275,110,39,35.45454545
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,314,100,45,45
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,422,177,53,29.94350282
LBN,Lebanon,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,188,18,8,44.44444444
LBN,Lebanon,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,330,188,85,45.21276596
LBN,Lebanon,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,218,83,44,53.01204819
LBN,Lebanon,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,565,128,67,52.34375
MKD,North Macedonia,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,175,75,48,64
MKD,North Macedonia,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,176,54,40,74.07407407
MKD,North Macedonia,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,276,80,46,57.5
MKD,North Macedonia,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,293,49,34,69.3877551
MLT,Malta,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,574,321,141,43.92523364
MLT,Malta,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,1116,352,152,43.18181818
MLT,Malta,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,624,358,148,41.34078212
MLT,Malta,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,530,277,98,35.37906137
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,25686,6227,1499,24.07258712
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,26268,6004,1480,24.65023318
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,25194,6299,1653,26.24226068
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,20249,5001,1264,25.27494501
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,1043,287,121,42.16027875
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,631,194,85,43.81443299
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,1007,486,208,42.79835391
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,876,180,90,50
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,2323,866,503,58.08314088
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,7410,983,639,65.00508647
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,8980,746,609,81.63538874
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,5623,477,350,73.37526205
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,5103,947,359,37.90918691
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,5595,1151,393,34.14422242
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,6468,1349,597,44.25500371
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,4276,784,327,41.70918367
RUS,Russian Federation,European Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,321,52,31,59.61538462
RUS,Russian Federation,European Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,427,81,51,62.96296296
RUS,Russian Federation,European Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,1173,188,96,51.06382979
RUS,Russian Federation,European Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,1305,130,76,58.46153846
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,1491,336,159,47.32142857
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,2420,562,248,44.12811388
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,2528,576,285,49.47916667
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,2458,467,225,48.17987152
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,1349,596,277,46.47651007
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,2629,877,371,42.30330673
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,5463,1727,784,45.39664157
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,6159,2200,1032,46.90909091
TUN,Tunisia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,835,78,14,17.94871795
TUN,Tunisia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ciprofloxacin,1660,241,84,34.85477178
TUN,Tunisia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ciprofloxacin,932,107,30,28.03738318
TUN,Tunisia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ciprofloxacin,917,80,26,32.5
