Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Cefepime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Cefepime,3.204517381,24.81131601,42.80245693,55.25771594,96.49122807,,
2018,BLOOD,Klebsiella pneumoniae,Cefepime,3.614298323,26.07378977,47.60689655,65.57722003,90.85872576,,
2019,BLOOD,Klebsiella pneumoniae,Cefepime,3.75613748,26.0715942,49.78223148,69.60018151,94.83695652,,
2020,BLOOD,Klebsiella pneumoniae,Cefepime,4.395646805,26.91408787,55.29160823,80.31144863,93.33333333,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,1982,353,81,22.94617564
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,2452,428,100,23.36448598
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,2464,391,97,24.80818414
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,2925,470,128,27.23404255
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Cefepime,6657,1251,635,50.75939249
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Cefepime,7385,1450,731,50.4137931
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Cefepime,5783,1130,549,48.5840708
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Cefepime,7376,1656,843,50.9057971
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,196,169,75,44.37869822
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,633,125,56,44.8
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,780,205,110,53.65853659
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,568,168,111,66.07142857
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,102,57,55,96.49122807
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,967,361,328,90.85872576
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,1114,368,349,94.83695652
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,901,225,210,93.33333333
IND,India,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,8532,821,653,79.53714982
IND,India,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,14459,396,291,73.48484848
IND,India,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,24223,1480,1154,77.97297297
IND,India,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,12371,844,686,81.27962085
JPN,Japan,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,168145,28335,908,3.204517381
JPN,Japan,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,126859,22660,819,3.614298323
JPN,Japan,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,136246,24440,918,3.75613748
JPN,Japan,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,142185,25912,1139,4.395646805
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,3518,693,143,20.63492063
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,3519,701,144,20.54208274
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,3646,716,122,17.03910615
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,4095,870,171,19.65517241
MLT,Malta,European Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,574,122,25,20.49180328
MLT,Malta,European Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,1116,142,35,24.64788732
MLT,Malta,European Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,624,137,35,25.54744526
MLT,Malta,European Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,530,132,34,25.75757576
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,25686,5581,1697,30.40673714
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,26268,5377,1632,30.35149712
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,25194,5068,1401,27.64404104
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,20249,4357,1168,26.80743631
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,1043,219,116,52.96803653
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,631,86,44,51.1627907
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,1007,255,130,50.98039216
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,876,87,77,88.50574713
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,2323,56,52,92.85714286
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,7410,67,54,80.59701493
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,8980,105,96,91.42857143
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,5623,151,125,82.78145695
PHL,Philippines,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,5103,1084,429,39.57564576
PHL,Philippines,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,5595,1244,548,44.05144695
PHL,Philippines,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,6468,1509,629,41.68323393
PHL,Philippines,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,4276,1120,413,36.875
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,1491,473,195,41.22621564
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,2420,823,551,66.95018226
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Cefepime,2528,846,606,71.63120567
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Cefepime,2458,779,603,77.40693196
TUN,Tunisia,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,835,191,107,56.02094241
TUN,Tunisia,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Cefepime,1660,384,236,61.45833333
