Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Streptococcus pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,0,0,0.408323161,2.951388889,6.666666667,,
2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,0,0,0.117726202,0.999216301,10.41666667,,
2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,0,0.578470825,1.068181818,3.246124031,7.317073171,,
2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,0,0,1.474387201,3.75,10.71428571,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,1982,80,0,0
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2452,72,0,0
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2464,100,1,1
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2925,45,1,2.222222222
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,634,15,1,6.666666667
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,841,30,0,0
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,1020,41,3,7.317073171
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,954,20,1,5
CHE,Switzerland,European Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,9259,480,0,0
CHE,Switzerland,European Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,19539,999,0,0
CHE,Switzerland,European Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,10424,507,0,0
CHE,Switzerland,European Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,10256,360,0,0
JPN,Japan,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,168145,4170,19,0.455635492
JPN,Japan,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,126859,2973,7,0.235452405
JPN,Japan,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,136246,2982,23,0.771294433
JPN,Japan,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,142185,1514,11,0.72655218
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,3518,54,1,1.851851852
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,3519,48,5,10.41666667
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,3646,36,1,2.777777778
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,4095,28,3,10.71428571
MLT,Malta,European Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,574,19,0,0
MLT,Malta,European Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,1116,36,0,0
MLT,Malta,European Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,624,26,0,0
MLT,Malta,European Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,530,13,0,0
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,25686,277,1,0.36101083
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,26268,174,1,0.574712644
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,25194,176,2,1.136363636
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,20249,60,2,3.333333333
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Streptococcus pneumoniae,Ceftriaxone,1491,32,2,6.25
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2420,44,1,2.272727273
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2528,43,2,4.651162791
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Streptococcus pneumoniae,Ceftriaxone,2458,32,0,0
