Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: ,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Third-generation cephalosporins,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Third-generation cephalosporins,5.865024103,12.05822066,20.19570638,48.82075472,100,,
2018,BLOOD,Escherichia coli,Third-generation cephalosporins,6.754318123,12.59557461,20.12156695,47.42679402,87.27272727,,
2019,BLOOD,Escherichia coli,Third-generation cephalosporins,5.523809524,13.23847928,19.95502249,49.01877133,88.87417219,,
2020,BLOOD,Escherichia coli,Third-generation cephalosporins,5.330174711,10.8332142,23.96094574,51.42154183,86.81318681,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,1982,136,71,52.20588235
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,2452,584,280,47.94520548
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,2464,293,135,46.07508532
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,2925,392,212,54.08163265
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,6657,1358,281,20.6921944
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,7385,1471,296,20.12236574
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,5783,1212,230,18.97689769
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,7376,1254,266,21.21212121
AUT,Austria,European Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,10210,5129,494,9.631507116
AUT,Austria,European Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,10829,5672,579,10.20803949
AUT,Austria,European Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,10215,5748,521,9.064022269
AUT,Austria,European Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,8660,4933,465,9.426312589
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,634,170,43,25.29411765
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,841,248,48,19.35483871
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,1020,290,59,20.34482759
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,954,179,42,23.46368715
CHE,Switzerland,European Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,9259,671,64,9.538002981
CHE,Switzerland,European Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,19539,11775,1200,10.1910828
CHE,Switzerland,European Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,10424,6030,619,10.26533997
CHE,Switzerland,European Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,10256,523,58,11.08986616
CYP,Cyprus,European Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,413,156,48,30.76923077
CYP,Cyprus,European Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,428,151,56,37.08609272
CYP,Cyprus,European Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,250,92,18,19.56521739
CYP,Cyprus,European Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,739,62,32,51.61290323
CZE,Czechia,European Region,2017,BLOOD,Escherichia coli,Third-generation cephalosporins,6893,3199,455,14.22319475
CZE,Czechia,European Region,2018,BLOOD,Escherichia coli,Third-generation cephalosporins,7835,3641,554,15.21560011
CZE,Czechia,European Region,2019,BLOOD,Escherichia coli,Third-generation cephalosporins,7711,3554,546,15.3629713
CZE,Czechia,European Region,2020,BLOOD,Escherichia coli,Third-generation cephalosporins,6846,2995,392,13.0884808
