Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: ,,,,,,,,,,
Bacterial pathogen filter: Staphylococcus aureus,,,,,,,,,,
Antibiotic filter: Methicillin resistance,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Staphylococcus aureus,Methicillin resistance,1.025991792,8.296982038,16.56862745,35.16015615,62.69430052,,
2018,BLOOD,Staphylococcus aureus,Methicillin resistance,0.904977376,7.691553685,14.94706912,35.91247623,63.10904872,,
2019,BLOOD,Staphylococcus aureus,Methicillin resistance,1.27064803,8.674423605,16.19653978,37.82497674,100,,
2020,BLOOD,Staphylococcus aureus,Methicillin resistance,1.19047619,8.396528224,18.34065581,41.50230133,100,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,1982,364,124,34.06593407
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,2452,447,123,27.51677852
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,2464,207,75,36.23188406
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,2925,555,236,42.52252252
ARG,Argentina,Region of the Americas,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,6657,1593,784,49.21531701
ARG,Argentina,Region of the Americas,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,7385,1877,850,45.2850293
ARG,Argentina,Region of the Americas,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,5783,1494,628,42.03480589
ARG,Argentina,Region of the Americas,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,7376,1604,616,38.40399002
AUT,Austria,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,10210,3158,186,5.889803673
AUT,Austria,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,10829,3307,212,6.410644088
AUT,Austria,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,10215,2378,125,5.256518082
AUT,Austria,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,8660,1968,88,4.471544715
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,634,155,40,25.80645161
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,841,227,37,16.29955947
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,1020,237,25,10.54852321
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,954,112,26,23.21428571
CHE,Switzerland,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,9259,825,39,4.727272727
CHE,Switzerland,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,19539,1582,92,5.815423515
CHE,Switzerland,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,10424,819,32,3.907203907
CHE,Switzerland,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,10256,1132,58,5.123674912
CYP,Cyprus,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,413,125,39,31.2
CYP,Cyprus,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,428,117,47,40.17094017
CYP,Cyprus,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,250,21,21,100
CYP,Cyprus,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,739,210,104,49.52380952
CZE,Czechia,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,6893,1944,257,13.22016461
CZE,Czechia,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,7835,2243,304,13.55327686
CZE,Czechia,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,7711,2108,264,12.52371917
CZE,Czechia,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,6846,2089,195,9.334609861
DEU,Germany,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,39144,12021,1094,9.100740371
DEU,Germany,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,39366,11611,878,7.56179485
DEU,Germany,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,41630,10939,744,6.801352957
DEU,Germany,European Region,2020,BLOOD,Staphylococcus aureus,Methicillin resistance,48396,13095,731,5.582283314
FIN,Finland,European Region,2017,BLOOD,Staphylococcus aureus,Methicillin resistance,22539,1701,33,1.940035273
FIN,Finland,European Region,2018,BLOOD,Staphylococcus aureus,Methicillin resistance,8600,2105,42,1.995249406
FIN,Finland,European Region,2019,BLOOD,Staphylococcus aureus,Methicillin resistance,9354,1494,31,2.074966533
