Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Amikacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Acinetobacter spp.,Amikacin,0.948905109,31.14277992,64.18439716,74.76017001,94.11764706,,
2018,BLOOD,Acinetobacter spp.,Amikacin,0.687679083,24.01959365,57.02613176,68.96929825,92.36641221,,
2019,BLOOD,Acinetobacter spp.,Amikacin,0.751879699,29.06060606,57.40935673,70.04207806,90.04524887,,
2020,BLOOD,Acinetobacter spp.,Amikacin,0.689655172,27.97367349,58.92410637,73.13047559,94.82758621,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Amikacin,1982,29,6,20.68965517
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,2452,17,3,17.64705882
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2464,15,5,33.33333333
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Acinetobacter spp.,Amikacin,2925,42,4,9.523809524
ARG,Argentina,Region of the Americas,2017,BLOOD,Acinetobacter spp.,Amikacin,6657,322,67,20.80745342
ARG,Argentina,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Amikacin,7385,347,78,22.47838617
ARG,Argentina,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Amikacin,5783,275,76,27.63636364
ARG,Argentina,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Amikacin,7376,626,167,26.67731629
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Acinetobacter spp.,Amikacin,634,110,97,88.18181818
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,841,131,121,92.36641221
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,1020,221,199,90.04524887
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Acinetobacter spp.,Amikacin,954,348,330,94.82758621
CHE,Switzerland,European Region,2017,BLOOD,Acinetobacter spp.,Amikacin,9259,74,10,13.51351351
CHE,Switzerland,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,19539,121,6,4.958677686
CHE,Switzerland,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,10424,54,3,5.555555556
CHE,Switzerland,European Region,2020,BLOOD,Acinetobacter spp.,Amikacin,10256,73,5,6.849315068
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter spp.,Amikacin,102,11,9,81.81818182
