Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Cefepime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Cefepime,6.230529595,17.40780694,22.58380278,41.5948528,68.88888889,,
2018,BLOOD,Escherichia coli,Cefepime,7.670454545,16.94550439,22.54835058,49.50892857,78.49462366,,
2019,BLOOD,Escherichia coli,Cefepime,13.13421509,15.7932042,20.6757371,52.68302923,89.53488372,,
2020,BLOOD,Escherichia coli,Cefepime,8.303249097,16.65548905,20.48858648,59.06188396,83.07692308,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Cefepime,1982,457,98,21.44420131
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Cefepime,2452,607,113,18.61614498
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Cefepime,2464,512,76,14.84375
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Cefepime,2925,580,101,17.4137931
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Cefepime,6657,1649,293,17.76834445
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Cefepime,7385,1991,332,16.67503767
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Cefepime,5783,1663,272,16.35598316
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Cefepime,7376,1847,341,18.46237141
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Cefepime,8532,487,288,59.137577
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Cefepime,14459,387,250,64.5994832
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Cefepime,24223,1066,669,62.75797373
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Cefepime,12371,529,356,67.29678639
JPN,Japan,Western Pacific Region,2017,BLOOD,Escherichia coli,Cefepime,168145,84134,9745,11.58271329
JPN,Japan,Western Pacific Region,2018,BLOOD,Escherichia coli,Cefepime,126859,66734,7899,11.83654509
JPN,Japan,Western Pacific Region,2019,BLOOD,Escherichia coli,Cefepime,136246,73792,9692,13.13421509
JPN,Japan,Western Pacific Region,2020,BLOOD,Escherichia coli,Cefepime,142185,80407,9986,12.41931673
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Escherichia coli,Cefepime,3518,1772,360,20.31602709
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Escherichia coli,Cefepime,3519,1724,427,24.76798144
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Escherichia coli,Cefepime,3646,1939,391,20.16503352
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Escherichia coli,Cefepime,4095,2209,478,21.63875057
MLT,Malta,European Region,2017,BLOOD,Escherichia coli,Cefepime,574,321,20,6.230529595
MLT,Malta,European Region,2018,BLOOD,Escherichia coli,Cefepime,1116,352,27,7.670454545
