Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Co-trimoxazole,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Co-trimoxazole,31.37697517,52.43687703,59.28117581,69.51907301,90,,
2018,BLOOD,Escherichia coli,Co-trimoxazole,35.96287703,48.9773854,52.37234538,57.97286056,94.44444444,,
2019,BLOOD,Escherichia coli,Co-trimoxazole,36.71995874,47.60503322,52.86835498,61.90864291,78.85802469,,
2020,BLOOD,Escherichia coli,Co-trimoxazole,33.58985967,45.6741573,51.21599107,58.49719101,67.73162939,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,1982,634,342,53.94321767
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,2452,791,411,51.95954488
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,2464,729,352,48.28532236
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,2925,754,384,50.92838196
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Co-trimoxazole,6657,1753,840,47.91785511
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Co-trimoxazole,7385,2061,991,48.08345463
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Co-trimoxazole,5783,1662,798,48.01444043
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Co-trimoxazole,7376,1932,909,47.04968944
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,8532,184,126,68.47826087
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,14459,326,182,55.82822086
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,24223,955,548,57.38219895
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,12371,516,301,58.33333333
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,3518,1772,556,31.37697517
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,3519,1724,620,35.96287703
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,3646,1939,712,36.71995874
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,4095,2209,742,33.58985967
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,209,106,77,72.64150943
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,275,109,76,69.72477064
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,314,100,76,76
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,422,178,105,58.98876404
MKD,North Macedonia,European Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,175,10,9,90
MKD,North Macedonia,European Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,176,18,17,94.44444444
MKD,North Macedonia,European Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,276,10,7,70
MKD,North Macedonia,European Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,293,15,7,46.66666667
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,25686,5558,2408,43.32493703
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,26268,5370,2240,41.7132216
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,25194,5652,2495,44.14366596
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,20249,4541,1843,40.58577406
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,1043,241,137,56.84647303
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,631,165,85,51.51515152
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,1007,414,192,46.37681159
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,876,178,76,42.69662921
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,2323,383,304,79.37336815
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,7410,138,68,49.27536232
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,8980,648,511,78.85802469
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,5623,313,212,67.73162939
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,5103,924,559,60.4978355
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,5595,1121,722,64.40677966
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,6468,1319,781,59.21152388
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,4276,794,473,59.57178841
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,1491,149,94,63.08724832
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,2420,377,199,52.78514589
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,2528,483,257,53.20910973
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,2458,427,224,52.45901639
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Co-trimoxazole,1349,589,342,58.06451613
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Co-trimoxazole,2629,576,310,53.81944444
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Co-trimoxazole,5463,1721,904,52.52760023
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Co-trimoxazole,6159,2361,1216,51.50360017
