Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Doripenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Doripenem,0,0.252525253,0.505050505,0.825717492,1.14638448,,
2018,BLOOD,Escherichia coli,Doripenem,0,0.046253469,0.092506938,4.212920136,8.333333333,,
2019,BLOOD,Escherichia coli,Doripenem,0.841042893,1.299642326,1.758241758,8.151848152,14.54545455,,
2020,BLOOD,Escherichia coli,Doripenem,0.590551181,0.942757605,1.294964029,5.141864037,8.988764045,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Doripenem,25686,1134,13,1.14638448
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Doripenem,26268,1081,1,0.092506938
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Doripenem,25194,1189,10,0.841042893
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Doripenem,20249,508,3,0.590551181
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Doripenem,5103,11,0,0
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Doripenem,5595,12,1,8.333333333
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Doripenem,6468,55,8,14.54545455
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Doripenem,4276,89,8,8.988764045
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Doripenem,1349,198,1,0.505050505
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Doripenem,2629,88,0,0
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Doripenem,5463,455,8,1.758241758
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Doripenem,6159,695,9,1.294964029
