Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ertapenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Ertapenem,0,0.116271322,0.986083113,3.77531647,31.05413105,,
2018,BLOOD,Escherichia coli,Ertapenem,0,0.302210844,1.090656732,2.767045764,34.47004608,,
2019,BLOOD,Escherichia coli,Ertapenem,0,0.785864621,1.970133854,4.035308953,18.37797619,,
2020,BLOOD,Escherichia coli,Ertapenem,0,0.089968147,1.535959312,3.819867977,21.91635786,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ertapenem,1982,357,11,3.081232493
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ertapenem,2452,391,10,2.557544757
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ertapenem,2464,381,9,2.362204724
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ertapenem,2925,449,8,1.781737194
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Ertapenem,6657,1379,14,1.015228426
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Ertapenem,7385,1711,12,0.701344243
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Ertapenem,5783,1339,14,1.045556385
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Ertapenem,7376,1433,20,1.395673412
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Ertapenem,634,77,0,0
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Escherichia coli,Ertapenem,841,172,0,0
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Escherichia coli,Ertapenem,1020,137,0,0
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Escherichia coli,Ertapenem,954,131,0,0
CHE,Switzerland,European Region,2017,BLOOD,Escherichia coli,Ertapenem,9259,4057,4,0.098595021
CHE,Switzerland,European Region,2018,BLOOD,Escherichia coli,Ertapenem,19539,8043,15,0.186497576
CHE,Switzerland,European Region,2019,BLOOD,Escherichia coli,Ertapenem,10424,3877,2,0.051586278
CHE,Switzerland,European Region,2020,BLOOD,Escherichia coli,Ertapenem,10256,4463,10,0.224064531
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Ertapenem,8532,702,218,31.05413105
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Ertapenem,14459,1085,374,34.47004608
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Ertapenem,24223,2688,494,18.37797619
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Ertapenem,12371,1889,414,21.91635786
JOR,Jordan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ertapenem,18,10,0,0
JOR,Jordan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Ertapenem,345,41,0,0
JOR,Jordan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Ertapenem,627,78,3,3.846153846
JOR,Jordan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Ertapenem,446,70,0,0
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Escherichia coli,Ertapenem,3518,1772,3,0.169300226
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Escherichia coli,Ertapenem,3519,1724,3,0.174013921
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Escherichia coli,Ertapenem,3646,1939,6,0.309437855
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Escherichia coli,Ertapenem,4095,2209,1,0.045269353
MKD,North Macedonia,European Region,2017,BLOOD,Escherichia coli,Ertapenem,175,24,0,0
MKD,North Macedonia,European Region,2018,BLOOD,Escherichia coli,Ertapenem,176,31,1,3.225806452
MKD,North Macedonia,European Region,2019,BLOOD,Escherichia coli,Ertapenem,276,48,4,8.333333333
MKD,North Macedonia,European Region,2020,BLOOD,Escherichia coli,Ertapenem,293,30,0,0
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Ertapenem,25686,5830,51,0.874785592
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Ertapenem,26268,5698,37,0.649350649
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Ertapenem,25194,5885,73,1.240441801
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Ertapenem,20249,4811,45,0.935356475
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Ertapenem,5103,599,24,4.006677796
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Ertapenem,5595,846,24,2.836879433
