Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Escherichia coli,Meropenem,0,0.030038271,0.514860454,1.600913726,19.33962264,,
2018,BLOOD,Escherichia coli,Meropenem,0,0.038242524,1.106627537,3.36304836,24.29600524,,
2019,BLOOD,Escherichia coli,Meropenem,0,0.043362857,0.962688381,1.868306623,18.93387708,,
2020,BLOOD,Escherichia coli,Meropenem,0,0.035044285,0.850468174,2.522185305,23.61832782,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Meropenem,1982,639,10,1.564945227
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Meropenem,2452,787,11,1.397712834
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Meropenem,2464,741,7,0.944669366
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Meropenem,2925,767,18,2.346805737
ARG,Argentina,Region of the Americas,2017,BLOOD,Escherichia coli,Meropenem,6657,1790,8,0.446927374
ARG,Argentina,Region of the Americas,2018,BLOOD,Escherichia coli,Meropenem,7385,2111,7,0.3315964
ARG,Argentina,Region of the Americas,2019,BLOOD,Escherichia coli,Meropenem,5783,1701,10,0.587889477
ARG,Argentina,Region of the Americas,2020,BLOOD,Escherichia coli,Meropenem,7376,1933,5,0.258665287
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Escherichia coli,Meropenem,634,178,2,1.123595506
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Escherichia coli,Meropenem,841,247,0,0
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Escherichia coli,Meropenem,1020,290,0,0
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Escherichia coli,Meropenem,954,179,0,0
CHE,Switzerland,European Region,2017,BLOOD,Escherichia coli,Meropenem,9259,4216,1,0.023719165
CHE,Switzerland,European Region,2018,BLOOD,Escherichia coli,Meropenem,19539,9411,0,0
CHE,Switzerland,European Region,2019,BLOOD,Escherichia coli,Meropenem,10424,5080,1,0.019685039
CHE,Switzerland,European Region,2020,BLOOD,Escherichia coli,Meropenem,10256,5187,1,0.019278967
GEO,Georgia,European Region,2017,BLOOD,Escherichia coli,Meropenem,105,13,0,0
GEO,Georgia,European Region,2018,BLOOD,Escherichia coli,Meropenem,216,42,4,9.523809524
GEO,Georgia,European Region,2019,BLOOD,Escherichia coli,Meropenem,433,77,6,7.792207792
GEO,Georgia,European Region,2020,BLOOD,Escherichia coli,Meropenem,741,134,1,0.746268657
IND,India,South-East Asia Region,2017,BLOOD,Escherichia coli,Meropenem,8532,1086,183,16.85082873
IND,India,South-East Asia Region,2018,BLOOD,Escherichia coli,Meropenem,14459,1527,371,24.29600524
IND,India,South-East Asia Region,2019,BLOOD,Escherichia coli,Meropenem,24223,3433,650,18.93387708
IND,India,South-East Asia Region,2020,BLOOD,Escherichia coli,Meropenem,12371,2117,500,23.61832782
JPN,Japan,Western Pacific Region,2017,BLOOD,Escherichia coli,Meropenem,168145,93886,46,0.04899559
JPN,Japan,Western Pacific Region,2018,BLOOD,Escherichia coli,Meropenem,126859,72658,23,0.031655152
JPN,Japan,Western Pacific Region,2019,BLOOD,Escherichia coli,Meropenem,136246,78767,32,0.040626151
JPN,Japan,Western Pacific Region,2020,BLOOD,Escherichia coli,Meropenem,142185,85346,27,0.031635929
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Escherichia coli,Meropenem,3518,1772,3,0.169300226
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Escherichia coli,Meropenem,3519,1724,1,0.05800464
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Escherichia coli,Meropenem,3646,1939,1,0.051572976
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Escherichia coli,Meropenem,4095,2209,1,0.045269353
LAO,Lao People's Democratic Republic,Western Pacific Region,2017,BLOOD,Escherichia coli,Meropenem,209,62,1,1.612903226
LAO,Lao People's Democratic Republic,Western Pacific Region,2018,BLOOD,Escherichia coli,Meropenem,275,66,1,1.515151515
LAO,Lao People's Democratic Republic,Western Pacific Region,2019,BLOOD,Escherichia coli,Meropenem,314,62,0,0
LAO,Lao People's Democratic Republic,Western Pacific Region,2020,BLOOD,Escherichia coli,Meropenem,422,161,0,0
MKD,North Macedonia,European Region,2017,BLOOD,Escherichia coli,Meropenem,175,77,0,0
MKD,North Macedonia,European Region,2018,BLOOD,Escherichia coli,Meropenem,176,53,2,3.773584906
MKD,North Macedonia,European Region,2019,BLOOD,Escherichia coli,Meropenem,276,82,1,1.219512195
MKD,North Macedonia,European Region,2020,BLOOD,Escherichia coli,Meropenem,293,49,1,2.040816327
MLT,Malta,European Region,2017,BLOOD,Escherichia coli,Meropenem,574,321,0,0
MLT,Malta,European Region,2018,BLOOD,Escherichia coli,Meropenem,1116,352,0,0
MLT,Malta,European Region,2019,BLOOD,Escherichia coli,Meropenem,624,358,0,0
MLT,Malta,European Region,2020,BLOOD,Escherichia coli,Meropenem,530,277,0,0
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Escherichia coli,Meropenem,25686,6037,33,0.54662912
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Escherichia coli,Meropenem,26268,5890,29,0.492359932
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Escherichia coli,Meropenem,25194,6220,61,0.980707395
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Escherichia coli,Meropenem,20249,4850,38,0.783505155
OMN,Oman,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Meropenem,1043,261,4,1.53256705
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Meropenem,631,174,2,1.149425287
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Meropenem,1007,447,9,2.013422819
OMN,Oman,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Meropenem,876,109,1,0.917431193
PAK,Pakistan,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Meropenem,2323,212,41,19.33962264
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Meropenem,7410,692,126,18.20809249
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Meropenem,8980,714,127,17.78711485
PAK,Pakistan,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Meropenem,5623,382,85,22.2513089
PHL,Philippines,Western Pacific Region,2017,BLOOD,Escherichia coli,Meropenem,5103,996,46,4.618473896
PHL,Philippines,Western Pacific Region,2018,BLOOD,Escherichia coli,Meropenem,5595,1160,44,3.793103448
PHL,Philippines,Western Pacific Region,2019,BLOOD,Escherichia coli,Meropenem,6468,1332,82,6.156156156
PHL,Philippines,Western Pacific Region,2020,BLOOD,Escherichia coli,Meropenem,4276,766,55,7.180156658
RUS,Russian Federation,European Region,2017,BLOOD,Escherichia coli,Meropenem,321,52,0,0
RUS,Russian Federation,European Region,2018,BLOOD,Escherichia coli,Meropenem,427,81,0,0
RUS,Russian Federation,European Region,2019,BLOOD,Escherichia coli,Meropenem,1173,165,2,1.212121212
RUS,Russian Federation,European Region,2020,BLOOD,Escherichia coli,Meropenem,1305,141,6,4.255319149
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Meropenem,1491,339,6,1.769911504
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Escherichia coli,Meropenem,2420,563,12,2.131438721
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Escherichia coli,Meropenem,2528,563,5,0.888099467
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Escherichia coli,Meropenem,2458,465,12,2.580645161
THA,Thailand,South-East Asia Region,2017,BLOOD,Escherichia coli,Meropenem,1349,414,2,0.483091787
THA,Thailand,South-East Asia Region,2018,BLOOD,Escherichia coli,Meropenem,2629,846,9,1.063829787
THA,Thailand,South-East Asia Region,2019,BLOOD,Escherichia coli,Meropenem,5463,1954,28,1.432958035
THA,Thailand,South-East Asia Region,2020,BLOOD,Escherichia coli,Meropenem,6159,2407,34,1.412546739
