Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,5.999824823,42.01476689,50.20857264,79.92481203,100,,
2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.157980837,32.6051507,57.07581892,84.68167702,99.14893617,,
2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.494256191,37.41275026,54.16847905,79.43745588,96.55172414,,
2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,6.284367636,44.40215421,70.28985507,78.62752828,98.27586207,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1982,119,57,47.89915966
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2452,150,80,53.33333333
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2464,209,88,42.10526316
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,2925,300,165,55
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,196,169,75,44.37869822
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,633,125,57,45.6
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,780,209,113,54.06698565
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,568,168,112,66.66666667
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,634,145,84,57.93103448
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,841,200,139,69.5
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1020,211,164,77.72511848
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,954,207,153,73.91304348
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,9259,945,58,6.137566138
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,19539,2066,178,8.615682478
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,10424,1232,88,7.142857143
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Ceftriaxone,10256,1273,80,6.284367636
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,102,33,33,100
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ceftriaxone,967,235,233,99.14893617
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1114,290,280,96.55172414
