Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Doripenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Doripenem,5.658324266,7.374616678,9.090909091,10.79545455,12.5,,
2018,BLOOD,Klebsiella pneumoniae,Doripenem,4.26742532,8.016065601,11.76470588,16.59663866,21.42857143,,
2019,BLOOD,Klebsiella pneumoniae,Doripenem,4.802744425,6.791616115,8.780487805,14.99630451,21.21212121,,
2020,BLOOD,Klebsiella pneumoniae,Doripenem,5.134474328,8.249055346,11.36363636,16.68181818,22,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Doripenem,25686,919,52,5.658324266
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Doripenem,26268,703,30,4.26742532
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Doripenem,25194,583,28,4.802744425
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Doripenem,20249,409,21,5.134474328
PHL,Philippines,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Doripenem,5103,11,1,9.090909091
PHL,Philippines,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Doripenem,5595,14,3,21.42857143
PHL,Philippines,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Doripenem,6468,66,14,21.21212121
PHL,Philippines,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Doripenem,4276,100,22,22
THA,Thailand,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Doripenem,1349,120,15,12.5
THA,Thailand,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Doripenem,2629,51,6,11.76470588
THA,Thailand,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Doripenem,5463,205,18,8.780487805
THA,Thailand,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Doripenem,6159,308,35,11.36363636
