Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ertapenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Ertapenem,0.420757363,8.976833977,23.55816227,39.23076923,100,,
2018,BLOOD,Klebsiella pneumoniae,Ertapenem,1.612903226,11.3172651,22.67106348,53.84779756,96.55172414,,
2019,BLOOD,Klebsiella pneumoniae,Ertapenem,1.117318436,12.0691076,22.58064516,46.66666667,95.08196721,,
2020,BLOOD,Klebsiella pneumoniae,Ertapenem,1.503759398,11.13087739,32.72292994,61.19894777,93.5483871,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ertapenem,1982,259,29,11.1969112
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ertapenem,2452,262,31,11.83206107
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Ertapenem,2464,291,30,10.30927835
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Ertapenem,2925,327,32,9.785932722
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Ertapenem,6657,1023,241,23.55816227
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Ertapenem,7385,1213,275,22.67106348
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Ertapenem,5783,885,182,20.56497175
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Ertapenem,7376,1256,411,32.72292994
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ertapenem,196,32,32,100
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Ertapenem,633,29,28,96.55172414
