Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Imipenem,0,6.557377049,13.47150259,21.86234818,69.49152542,,
2018,BLOOD,Klebsiella pneumoniae,Imipenem,0.12599559,8.414239482,14.18439716,27.02702703,90,,
2019,BLOOD,Klebsiella pneumoniae,Imipenem,0,5.454545455,16.27565982,38.86883273,87.87878788,,
2020,BLOOD,Klebsiella pneumoniae,Imipenem,0.076783189,6.060606061,20.74139453,53.69852059,71.84466019,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,1982,476,47,9.87394958
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,2452,545,47,8.623853211
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,2464,504,37,7.341269841
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,2925,599,75,12.52086811
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Imipenem,6657,1332,247,18.54354354
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Imipenem,7385,1517,300,19.77587343
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Imipenem,5783,1166,182,15.60891938
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Imipenem,7376,1756,424,24.14578588
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,196,59,41,69.49152542
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,633,30,27,90
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,780,66,58,87.87878788
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,568,103,74,71.84466019
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,634,144,13,9.027777778
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,841,200,27,13.5
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,1020,210,78,37.14285714
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,954,207,76,36.71497585
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,9259,880,2,0.227272727
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,19539,1924,12,0.623700624
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,10424,1162,5,0.430292599
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,10256,1197,4,0.334168755
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,102,61,40,65.57377049
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,967,356,206,57.86516854
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,1114,409,237,57.94621027
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,901,206,138,66.99029126
GEO,Georgia,European Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,105,30,10,33.33333333
GEO,Georgia,European Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,216,74,20,27.02702703
GEO,Georgia,European Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,433,134,48,35.82089552
GEO,Georgia,European Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,741,231,127,54.97835498
IND,India,South-East Asia Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,8532,1339,460,34.35399552
IND,India,South-East Asia Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,14459,1482,689,46.49122807
IND,India,South-East Asia Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,24223,4366,2190,50.16032982
IND,India,South-East Asia Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,12371,2501,1343,53.69852059
JPN,Japan,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,168145,28936,28,0.096765275
JPN,Japan,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,126859,22223,28,0.12599559
JPN,Japan,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,136246,23497,31,0.131931736
JPN,Japan,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,142185,24745,19,0.076783189
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,3518,693,5,0.721500722
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,3519,701,10,1.426533524
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,3646,716,7,0.977653631
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,4095,870,32,3.67816092
MKD,North Macedonia,European Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,175,22,3,13.63636364
MKD,North Macedonia,European Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,176,37,4,10.81081081
MKD,North Macedonia,European Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,276,55,3,5.454545455
MKD,North Macedonia,European Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,293,118,2,1.694915254
MLT,Malta,European Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,574,122,8,6.557377049
MLT,Malta,European Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,1116,141,20,14.18439716
MLT,Malta,European Region,2019,BLOOD,Klebsiella pneumoniae,Imipenem,624,137,9,6.569343066
MLT,Malta,European Region,2020,BLOOD,Klebsiella pneumoniae,Imipenem,530,132,8,6.060606061
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,25686,5472,212,3.874269006
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Klebsiella pneumoniae,Imipenem,26268,5372,201,3.741623232
