Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Klebsiella pneumoniae,Meropenem,0,3.293096492,12.32218559,19.60118343,66.66666667,,
2018,BLOOD,Klebsiella pneumoniae,Meropenem,0,3.43972696,14.41361432,22.04171779,65.3968254,,
2019,BLOOD,Klebsiella pneumoniae,Meropenem,0,3.378697424,11.22662558,36.64828034,67.84810127,,
2020,BLOOD,Klebsiella pneumoniae,Meropenem,0.148820327,4.67032345,12.47896045,45.21872774,75.86206897,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,1982,495,63,12.72727273
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,2452,563,71,12.61101243
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,2464,520,57,10.96153846
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,2925,623,96,15.40930979
ARG,Argentina,Region of the Americas,2017,BLOOD,Klebsiella pneumoniae,Meropenem,6657,1330,244,18.34586466
ARG,Argentina,Region of the Americas,2018,BLOOD,Klebsiella pneumoniae,Meropenem,7385,1525,303,19.86885246
ARG,Argentina,Region of the Americas,2019,BLOOD,Klebsiella pneumoniae,Meropenem,5783,1167,199,17.05227078
ARG,Argentina,Region of the Americas,2020,BLOOD,Klebsiella pneumoniae,Meropenem,7376,1764,463,26.24716553
BHR,Bahrain,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,196,169,32,18.93491124
BHR,Bahrain,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,633,125,26,20.8
BHR,Bahrain,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,780,207,59,28.50241546
BHR,Bahrain,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,568,168,72,42.85714286
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,634,140,13,9.285714286
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,841,200,34,17
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,1020,211,88,41.70616114
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,954,206,90,43.68932039
CHE,Switzerland,European Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,9259,771,2,0.259403372
CHE,Switzerland,European Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,19539,1741,15,0.861573808
CHE,Switzerland,European Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,10424,1047,6,0.573065903
CHE,Switzerland,European Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,10256,1133,4,0.353045013
EGY,Egypt,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,102,42,28,66.66666667
EGY,Egypt,Eastern Mediterranean Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,967,315,206,65.3968254
EGY,Egypt,Eastern Mediterranean Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,1114,395,268,67.84810127
EGY,Egypt,Eastern Mediterranean Region,2020,BLOOD,Klebsiella pneumoniae,Meropenem,901,174,132,75.86206897
GEO,Georgia,European Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,105,30,14,46.66666667
GEO,Georgia,European Region,2018,BLOOD,Klebsiella pneumoniae,Meropenem,216,60,20,33.33333333
GEO,Georgia,European Region,2019,BLOOD,Klebsiella pneumoniae,Meropenem,433,134,48,35.82089552
