Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Salmonella spp.,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Salmonella spp.,Cefotaxime,0,1.632011183,2.321388325,3.709499264,7.317073171,,
2018,BLOOD,Salmonella spp.,Cefotaxime,0,0.352941176,3.484848485,4.244830891,8.139534884,,
2019,BLOOD,Salmonella spp.,Cefotaxime,0,0.655847415,3.928331467,7.935784734,16.12903226,,
2020,BLOOD,Salmonella spp.,Cefotaxime,0,1.532650663,2.17869776,9.005057689,17.14285714,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Salmonella spp.,Cefotaxime,1982,59,1,1.694915254
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Salmonella spp.,Cefotaxime,2452,67,4,5.970149254
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Salmonella spp.,Cefotaxime,2464,93,15,16.12903226
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Salmonella spp.,Cefotaxime,2925,70,12,17.14285714
ARG,Argentina,Region of the Americas,2017,BLOOD,Salmonella spp.,Cefotaxime,6657,31,0,0
ARG,Argentina,Region of the Americas,2018,BLOOD,Salmonella spp.,Cefotaxime,7385,28,0,0
ARG,Argentina,Region of the Americas,2019,BLOOD,Salmonella spp.,Cefotaxime,5783,139,1,0.71942446
ARG,Argentina,Region of the Americas,2020,BLOOD,Salmonella spp.,Cefotaxime,7376,185,1,0.540540541
JPN,Japan,Western Pacific Region,2017,BLOOD,Salmonella spp.,Cefotaxime,168145,485,7,1.443298969
JPN,Japan,Western Pacific Region,2018,BLOOD,Salmonella spp.,Cefotaxime,126859,425,2,0.470588235
JPN,Japan,Western Pacific Region,2019,BLOOD,Salmonella spp.,Cefotaxime,136246,475,7,1.473684211
JPN,Japan,Western Pacific Region,2020,BLOOD,Salmonella spp.,Cefotaxime,142185,449,9,2.004454343
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Salmonella spp.,Cefotaxime,3518,56,2,3.571428571
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Salmonella spp.,Cefotaxime,3519,55,2,3.636363636
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Salmonella spp.,Cefotaxime,3646,47,3,6.382978723
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Salmonella spp.,Cefotaxime,4095,37,3,8.108108108
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Salmonella spp.,Cefotaxime,25686,261,7,2.681992337
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Salmonella spp.,Cefotaxime,26268,218,8,3.669724771
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Salmonella spp.,Cefotaxime,25194,215,1,0.465116279
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Salmonella spp.,Cefotaxime,20249,161,3,1.863354037
PHL,Philippines,Western Pacific Region,2017,BLOOD,Salmonella spp.,Cefotaxime,5103,194,8,4.12371134
PHL,Philippines,Western Pacific Region,2018,BLOOD,Salmonella spp.,Cefotaxime,5595,150,5,3.333333333
PHL,Philippines,Western Pacific Region,2019,BLOOD,Salmonella spp.,Cefotaxime,6468,106,7,6.603773585
PHL,Philippines,Western Pacific Region,2020,BLOOD,Salmonella spp.,Cefotaxime,4276,85,2,2.352941176
POL,Poland,European Region,2017,BLOOD,Salmonella spp.,Cefotaxime,6587,51,1,1.960784314
POL,Poland,European Region,2018,BLOOD,Salmonella spp.,Cefotaxime,6477,38,0,0
POL,Poland,European Region,2019,BLOOD,Salmonella spp.,Cefotaxime,6404,55,0,0
POL,Poland,European Region,2020,BLOOD,Salmonella spp.,Cefotaxime,4975,31,0,0
THA,Thailand,South-East Asia Region,2017,BLOOD,Salmonella spp.,Cefotaxime,1349,41,3,7.317073171
THA,Thailand,South-East Asia Region,2018,BLOOD,Salmonella spp.,Cefotaxime,2629,86,7,8.139534884
THA,Thailand,South-East Asia Region,2019,BLOOD,Salmonella spp.,Cefotaxime,5463,176,21,11.93181818
THA,Thailand,South-East Asia Region,2020,BLOOD,Salmonella spp.,Cefotaxime,6159,171,20,11.69590643
