Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Streptococcus pneumoniae,,,,,,,,,,
Antibiotic filter: Cefotaxime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,0,0,1.851851852,3.448275862,13.79310345,,
2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,0,0,0.465116279,5.128205128,9.803921569,,
2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,0,0.595238095,1.470588235,2.777777778,12.19512195,,
2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,0,0,1.369863014,5,10.71428571,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,1982,29,1,3.448275862
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,2452,41,1,2.43902439
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,2464,68,1,1.470588235
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,2925,29,0,0
ARG,Argentina,Region of the Americas,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,6657,148,3,2.027027027
ARG,Argentina,Region of the Americas,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,7385,215,1,0.465116279
ARG,Argentina,Region of the Americas,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,5783,168,1,0.595238095
ARG,Argentina,Region of the Americas,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,7376,73,1,1.369863014
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,634,14,1,7.142857143
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,841,30,0,0
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,1020,41,5,12.19512195
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,954,20,1,5
CHE,Switzerland,European Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,9259,55,0,0
CHE,Switzerland,European Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,19539,86,0,0
CHE,Switzerland,European Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,10424,21,0,0
CHE,Switzerland,European Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,10256,16,0,0
JPN,Japan,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,168145,3744,16,0.427350427
JPN,Japan,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,126859,2661,10,0.375798572
JPN,Japan,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,136246,2606,23,0.882578665
JPN,Japan,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,142185,1379,10,0.725163162
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,3518,54,1,1.851851852
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,3519,48,3,6.25
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,3646,36,1,2.777777778
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,4095,28,3,10.71428571
MYS,Malaysia,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,25686,72,0,0
MYS,Malaysia,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,26268,55,0,0
MYS,Malaysia,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,25194,52,0,0
MYS,Malaysia,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,20249,11,0,0
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,1491,29,4,13.79310345
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,2420,51,5,9.803921569
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,2528,33,3,9.090909091
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,2458,32,1,3.125
THA,Thailand,South-East Asia Region,2017,BLOOD,Streptococcus pneumoniae,Cefotaxime,1349,20,0,0
THA,Thailand,South-East Asia Region,2018,BLOOD,Streptococcus pneumoniae,Cefotaxime,2629,39,2,5.128205128
THA,Thailand,South-East Asia Region,2019,BLOOD,Streptococcus pneumoniae,Cefotaxime,5463,124,2,1.612903226
THA,Thailand,South-East Asia Region,2020,BLOOD,Streptococcus pneumoniae,Cefotaxime,6159,59,3,5.084745763
