Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Streptococcus pneumoniae,,,,,,,,,,
Antibiotic filter: Penicillin G,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,BLOOD,Streptococcus pneumoniae,Penicillin G,0.041373604,7.261208577,15.74239714,27.2767907,42.85714286,,
2018,BLOOD,Streptococcus pneumoniae,Penicillin G,0.122624157,6.388888889,14.63414634,28.9618086,49.33333333,,
2019,BLOOD,Streptococcus pneumoniae,Penicillin G,0.185242359,4.659916926,13.70656371,27.76669327,37.97468354,,
2020,BLOOD,Streptococcus pneumoniae,Penicillin G,0,4.289075777,13.51351351,24.42908654,39.65517241,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,1982,66,20,30.3030303
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,2452,67,26,38.80597015
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,2464,98,36,36.73469388
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,2925,52,12,23.07692308
ARG,Argentina,Region of the Americas,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,6657,259,68,26.25482625
ARG,Argentina,Region of the Americas,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,7385,408,78,19.11764706
ARG,Argentina,Region of the Americas,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,5783,358,88,24.58100559
ARG,Argentina,Region of the Americas,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,7376,128,33,25.78125
BIH,Bosnia and Herzegovina,European Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,634,19,5,26.31578947
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,841,30,14,46.66666667
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,1020,42,13,30.95238095
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,954,20,6,30
CHE,Switzerland,European Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,9259,645,14,2.170542636
CHE,Switzerland,European Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,19539,1395,24,1.720430108
CHE,Switzerland,European Region,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,10424,657,8,1.217656012
CHE,Switzerland,European Region,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,10256,433,11,2.540415704
JPN,Japan,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,168145,4834,2,0.041373604
JPN,Japan,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,126859,3262,4,0.122624157
JPN,Japan,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,136246,3239,6,0.185242359
JPN,Japan,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,142185,1650,5,0.303030303
KOR,Republic of Korea,Western Pacific Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,3518,54,5,9.259259259
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,3519,48,4,8.333333333
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Streptococcus pneumoniae,Penicillin G,3646,36,1,2.777777778
KOR,Republic of Korea,Western Pacific Region,2020,BLOOD,Streptococcus pneumoniae,Penicillin G,4095,28,3,10.71428571
MLT,Malta,European Region,2017,BLOOD,Streptococcus pneumoniae,Penicillin G,574,19,1,5.263157895
MLT,Malta,European Region,2018,BLOOD,Streptococcus pneumoniae,Penicillin G,1116,36,4,11.11111111
