Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gastrointestinal,,,,,,,,,,
Bacterial pathogen filter: Shigella spp.,,,,,,,,,,
Antibiotic filter: Azithromycin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,STOOL,Shigella spp.,Azithromycin,2.429667519,2.429667519,2.429667519,2.429667519,2.429667519,,
2018,STOOL,Shigella spp.,Azithromycin,1.878354204,1.878354204,1.878354204,1.878354204,1.878354204,,
2019,STOOL,Shigella spp.,Azithromycin,1.356443105,1.356443105,1.356443105,1.356443105,1.356443105,,
2020,STOOL,Shigella spp.,Azithromycin,0.535714286,0.535714286,0.535714286,0.535714286,0.535714286,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARG,Argentina,Region of the Americas,2017,STOOL,Shigella spp.,Azithromycin,3022,782,19,2.429667519
ARG,Argentina,Region of the Americas,2018,STOOL,Shigella spp.,Azithromycin,3376,1118,21,1.878354204
ARG,Argentina,Region of the Americas,2019,STOOL,Shigella spp.,Azithromycin,2892,1327,18,1.356443105
ARG,Argentina,Region of the Americas,2020,STOOL,Shigella spp.,Azithromycin,2201,1120,6,0.535714286
