Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Gonorrhoea,,,,,,,,,,
Bacterial pathogen filter: Neisseria gonorrhoeae,,,,,,,,,,
Antibiotic filter: Ciprofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,40.54054054,62.82039462,72.85509031,81.34808195,100,,
2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,51.04166667,60.42839903,65.43562756,83.32317073,100,,
2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,54.76923077,63.86217949,67.55204242,78.61752717,99.69512195,,
2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,50.32679739,60.36118923,74.51310074,87.25961538,100,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
CHE,Switzerland,European Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,94,37,15,40.54054054
CHE,Switzerland,European Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,110,96,49,51.04166667
CHE,Switzerland,European Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,154,152,101,66.44736842
CHE,Switzerland,European Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,154,153,77,50.32679739
JPN,Japan,Western Pacific Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,982,372,282,75.80645161
JPN,Japan,Western Pacific Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,1167,881,587,66.62883087
JPN,Japan,Western Pacific Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,1023,936,602,64.31623932
JPN,Japan,Western Pacific Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,825,793,565,71.24842371
MYS,Malaysia,Western Pacific Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,217,203,152,74.87684729
MYS,Malaysia,Western Pacific Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,183,165,106,64.24242424
MYS,Malaysia,Western Pacific Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,168,134,92,68.65671642
MYS,Malaysia,Western Pacific Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,138,131,83,63.35877863
NOR,Norway,European Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,374,374,166,44.38502674
NOR,Norway,European Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,226,226,141,62.38938053
NOR,Norway,European Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,325,325,178,54.76923077
NOR,Norway,European Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,475,475,244,51.36842105
OMN,Oman,Eastern Mediterranean Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,25,24,17,70.83333333
OMN,Oman,Eastern Mediterranean Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,19,11,6,54.54545455
OMN,Oman,Eastern Mediterranean Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,54,46,36,78.26086957
OMN,Oman,Eastern Mediterranean Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,23,18,14,77.77777778
PHL,Philippines,Western Pacific Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,119,116,80,68.96551724
PHL,Philippines,Western Pacific Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,103,100,80,80
PHL,Philippines,Western Pacific Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,140,128,102,79.6875
PHL,Philippines,Western Pacific Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,44,39,34,87.17948718
THA,Thailand,South-East Asia Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,183,148,145,97.97297297
THA,Thailand,South-East Asia Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,170,164,153,93.29268293
THA,Thailand,South-East Asia Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,79,32,20,62.5
THA,Thailand,South-East Asia Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,42,40,35,87.5
UGA,Uganda,African Region,2017,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,355,355,355,100
UGA,Uganda,African Region,2018,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,340,340,340,100
UGA,Uganda,African Region,2019,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,329,328,327,99.69512195
UGA,Uganda,African Region,2020,GENITAL,Neisseria gonorrhoeae,Ciprofloxacin,290,290,290,100
