Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ampicillin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Ampicillin,26.84469431,63.92724217,69.95652174,83.50746269,100,,
2018,URINE,Escherichia coli,Ampicillin,30.61696764,64.23149905,72.01285422,83.18584071,100,,
2019,URINE,Escherichia coli,Ampicillin,30.60281795,64.79598618,71.73314993,84.49775903,100,,
2020,URINE,Escherichia coli,Ampicillin,29.20636788,61.99587872,70.79337402,83.41597796,98.50746269,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ampicillin,13558,8982,5869,65.3417947
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ampicillin,22331,15083,9677,64.15832394
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ampicillin,27055,17771,11021,62.01676889
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ampicillin,29681,19840,11754,59.24395161
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Ampicillin,39782,33316,21298,63.92724217
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Ampicillin,44553,36890,23695,64.23149905
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Ampicillin,35830,30096,19501,64.79598618
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Ampicillin,29170,23779,14742,61.99587872
BGD,Bangladesh,South-East Asia Region,2017,URINE,Escherichia coli,Ampicillin,209,91,74,81.31868132
BGD,Bangladesh,South-East Asia Region,2018,URINE,Escherichia coli,Ampicillin,412,226,188,83.18584071
BGD,Bangladesh,South-East Asia Region,2019,URINE,Escherichia coli,Ampicillin,488,319,274,85.89341693
BGD,Bangladesh,South-East Asia Region,2020,URINE,Escherichia coli,Ampicillin,261,170,147,86.47058824
FIN,Finland,European Region,2017,URINE,Escherichia coli,Ampicillin,281729,1423,382,26.84469431
FIN,Finland,European Region,2018,URINE,Escherichia coli,Ampicillin,159588,91,91,100
FIN,Finland,European Region,2019,URINE,Escherichia coli,Ampicillin,159676,123,123,100
FIN,Finland,European Region,2020,URINE,Escherichia coli,Ampicillin,146108,134,132,98.50746269
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Ampicillin,810851,700045,361004,51.56868487
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Ampicillin,863293,751551,380972,50.69143678
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Ampicillin,880701,711243,344948,48.49931739
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Ampicillin,651538,576712,285973,49.58679549
JPN,Japan,Western Pacific Region,2017,URINE,Escherichia coli,Ampicillin,452366,350994,165534,47.16148994
