Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Ceftriaxone,3.544496515,22.60894318,44.65992041,58.01289206,99.57983193,,
2018,URINE,Escherichia coli,Ceftriaxone,6.235651033,21.79547533,41.88630133,54.88465611,75.86206897,,
2019,URINE,Escherichia coli,Ceftriaxone,6.198377446,22.35923456,45.57774334,51.03972958,71.93767908,,
2020,URINE,Escherichia coli,Ceftriaxone,5.902498875,22.67400607,45.19051414,54.64339059,76.79558011,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Ceftriaxone,13558,2477,832,33.58901897
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Ceftriaxone,22331,6649,2008,30.20003008
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ceftriaxone,27055,8314,2252,27.08684147
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Ceftriaxone,29681,6870,1959,28.51528384
BGD,Bangladesh,South-East Asia Region,2017,URINE,Escherichia coli,Ceftriaxone,209,93,50,53.76344086
BGD,Bangladesh,South-East Asia Region,2018,URINE,Escherichia coli,Ceftriaxone,412,240,131,54.58333333
BGD,Bangladesh,South-East Asia Region,2019,URINE,Escherichia coli,Ceftriaxone,488,324,177,54.62962963
BGD,Bangladesh,South-East Asia Region,2020,URINE,Escherichia coli,Ceftriaxone,261,195,111,56.92307692
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Ceftriaxone,97650,9755,548,5.617631984
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Ceftriaxone,118114,97568,6084,6.235651033
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Ceftriaxone,139721,108964,6754,6.198377446
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Ceftriaxone,153286,113291,6687,5.902498875
FIN,Finland,European Region,2017,URINE,Escherichia coli,Ceftriaxone,281729,42037,1490,3.544496515
FIN,Finland,European Region,2018,URINE,Escherichia coli,Ceftriaxone,159588,47715,4906,10.28188201
FIN,Finland,European Region,2019,URINE,Escherichia coli,Ceftriaxone,159676,47068,5312,11.28579927
FIN,Finland,European Region,2020,URINE,Escherichia coli,Ceftriaxone,146108,42718,4760,11.14284377
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Ceftriaxone,810851,53249,5713,10.72883998
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Ceftriaxone,863293,65248,7030,10.77427661
