Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Co-trimoxazole,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Co-trimoxazole,0,32.9615388,39.49198928,59.93827106,79.81651376,,
2018,URINE,Escherichia coli,Co-trimoxazole,19.53619115,32.86123065,39.12184277,54.37482422,67.27272727,,
2019,URINE,Escherichia coli,Co-trimoxazole,20.35617177,23.35936711,39.34143644,56.000069,68.54870004,,
2020,URINE,Escherichia coli,Co-trimoxazole,19.72704715,22.72500345,36.34156656,55.41718754,67.41019699,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Co-trimoxazole,13558,9950,4101,41.2160804
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Co-trimoxazole,22331,15056,6207,41.22608927
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Co-trimoxazole,27055,17843,6939,38.88920025
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Co-trimoxazole,29681,20193,7260,35.95305304
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Co-trimoxazole,39782,32942,13132,39.8640034
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Co-trimoxazole,44553,36896,14919,40.43527754
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Co-trimoxazole,35830,30338,12419,40.93546048
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Co-trimoxazole,29170,24877,9561,38.43309081
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Co-trimoxazole,97650,10134,2193,21.64002368
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Co-trimoxazole,118114,101910,22744,22.31773133
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Co-trimoxazole,139721,118418,26130,22.06590214
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Co-trimoxazole,153286,130377,27237,20.89095469
FIN,Finland,European Region,2017,URINE,Escherichia coli,Co-trimoxazole,281729,45323,6855,15.12477109
FIN,Finland,European Region,2018,URINE,Escherichia coli,Co-trimoxazole,159588,12244,3385,27.64619405
FIN,Finland,European Region,2019,URINE,Escherichia coli,Co-trimoxazole,159676,39235,8340,21.25653116
FIN,Finland,European Region,2020,URINE,Escherichia coli,Co-trimoxazole,146108,49166,9699,19.72704715
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Escherichia coli,Co-trimoxazole,810851,60381,18580,30.77126911
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Escherichia coli,Co-trimoxazole,863293,70313,24328,34.59957618
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Escherichia coli,Co-trimoxazole,880701,62651,14905,23.7905221
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Escherichia coli,Co-trimoxazole,651538,53214,12351,23.2100575
IND,India,South-East Asia Region,2017,URINE,Escherichia coli,Co-trimoxazole,10034,6670,4611,69.13043478
