Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Escherichia coli,,,,,,,,,,
Antibiotic filter: Colistin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Escherichia coli,Colistin,0,0.353773585,0.69417076,1.122655064,8.360128617,,
2018,URINE,Escherichia coli,Colistin,0.353982301,0.578070108,0.951142478,2.201638231,5.268199234,,
2019,URINE,Escherichia coli,Colistin,0,0.467287334,0.889932158,1.428328573,2.222222222,,
2020,URINE,Escherichia coli,Colistin,0,0.370025882,0.974249615,2.127716337,34.10404624,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Colistin,13558,59,0,0
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Colistin,22331,1836,38,2.069716776
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Colistin,27055,2744,26,0.947521866
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Colistin,29681,1618,13,0.803461063
ARG,Argentina,Region of the Americas,2017,URINE,Escherichia coli,Colistin,39782,27174,138,0.507838375
ARG,Argentina,Region of the Americas,2018,URINE,Escherichia coli,Colistin,44553,26608,161,0.605081179
ARG,Argentina,Region of the Americas,2019,URINE,Escherichia coli,Colistin,35830,18233,86,0.471672243
ARG,Argentina,Region of the Americas,2020,URINE,Escherichia coli,Colistin,29170,12364,61,0.493367842
CHE,Switzerland,European Region,2017,URINE,Escherichia coli,Colistin,97650,636,3,0.471698113
CHE,Switzerland,European Region,2018,URINE,Escherichia coli,Colistin,118114,5231,26,0.497036895
CHE,Switzerland,European Region,2019,URINE,Escherichia coli,Colistin,139721,2523,21,0.832342449
CHE,Switzerland,European Region,2020,URINE,Escherichia coli,Colistin,153286,1834,21,1.145038168
MYS,Malaysia,Western Pacific Region,2017,URINE,Escherichia coli,Colistin,19286,464,5,1.077586207
MYS,Malaysia,Western Pacific Region,2018,URINE,Escherichia coli,Colistin,19914,667,6,0.899550225
MYS,Malaysia,Western Pacific Region,2019,URINE,Escherichia coli,Colistin,19312,260,0,0
MYS,Malaysia,Western Pacific Region,2020,URINE,Escherichia coli,Colistin,18124,135,0,0
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Colistin,4377,159,2,1.257861635
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Colistin,3636,77,2,2.597402597
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Colistin,8941,190,3,1.578947368
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Colistin,3343,173,59,34.10404624
PHL,Philippines,Western Pacific Region,2017,URINE,Escherichia coli,Colistin,6689,795,7,0.880503145
PHL,Philippines,Western Pacific Region,2018,URINE,Escherichia coli,Colistin,8074,1097,11,1.002734731
PHL,Philippines,Western Pacific Region,2019,URINE,Escherichia coli,Colistin,9132,1101,5,0.454132607
PHL,Philippines,Western Pacific Region,2020,URINE,Escherichia coli,Colistin,4560,1080,21,1.944444444
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Colistin,3860,311,26,8.360128617
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Colistin,5627,1044,55,5.268199234
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Colistin,5587,1161,16,1.378122308
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Colistin,4464,859,23,2.677532014
TUN,Tunisia,Eastern Mediterranean Region,2017,URINE,Escherichia coli,Colistin,3523,827,0,0
TUN,Tunisia,Eastern Mediterranean Region,2018,URINE,Escherichia coli,Colistin,12711,1130,4,0.353982301
TUN,Tunisia,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Colistin,5444,45,1,2.222222222
TUN,Tunisia,Eastern Mediterranean Region,2020,URINE,Escherichia coli,Colistin,5309,19,0,0
