Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Cefepime,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Cefepime,3.104026846,17.0679365,31.50894505,47.28101326,84.78431373,,
2018,URINE,Klebsiella pneumoniae,Cefepime,3.867353393,19.20254716,36.57026801,50.45900402,62.68343816,,
2019,URINE,Klebsiella pneumoniae,Cefepime,3.270066316,17.15025592,32.04291721,50.93701918,66.66666667,,
2020,URINE,Klebsiella pneumoniae,Cefepime,3.395436749,16.84794883,33.23624481,52.97139752,95.65217391,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefepime,13558,1965,273,13.89312977
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefepime,22331,3641,594,16.3141994
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefepime,27055,4496,642,14.27935943
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefepime,29681,4849,667,13.75541349
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Cefepime,39782,2970,1416,47.67676768
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Cefepime,44553,3593,1632,45.42165321
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Cefepime,35830,3434,1551,45.16598719
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Cefepime,29170,2977,1336,44.87739335
BGD,Bangladesh,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Cefepime,209,31,14,45.16129032
BGD,Bangladesh,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Cefepime,412,56,29,51.78571429
BGD,Bangladesh,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Cefepime,488,76,24,31.57894737
BGD,Bangladesh,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Cefepime,261,47,15,31.91489362
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Cefepime,97650,1192,37,3.104026846
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Cefepime,118114,11067,428,3.867353393
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Cefepime,139721,13119,429,3.270066316
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Cefepime,153286,14814,503,3.395436749
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Cefepime,810851,15908,1685,10.59215489
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Cefepime,863293,15128,2060,13.61713379
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Cefepime,880701,14294,2058,14.39764936
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Cefepime,651538,12273,1612,13.13452294
IND,India,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Cefepime,10034,1275,1081,84.78431373
IND,India,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Cefepime,25203,477,299,62.68343816
IND,India,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Cefepime,47746,2190,1399,63.88127854
IND,India,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Cefepime,18235,654,429,65.59633028
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefepime,452366,66855,3519,5.263630245
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefepime,423516,65539,3304,5.041273135
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefepime,453889,71443,4213,5.897008804
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefepime,475584,74738,4859,6.501378148
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefepime,9130,1256,334,26.59235669
KOR,Republic of Korea,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefepime,8554,1299,362,27.86759045
KOR,Republic of Korea,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefepime,8565,1295,348,26.87258687
KOR,Republic of Korea,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefepime,8567,1274,359,28.17896389
MYS,Malaysia,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefepime,19286,4627,1362,29.4359196
MYS,Malaysia,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefepime,19914,4926,1391,28.23792123
MYS,Malaysia,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefepime,19312,4656,1183,25.4080756
MYS,Malaysia,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefepime,18124,4731,1236,26.12555485
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefepime,4377,504,276,54.76190476
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefepime,3636,250,134,53.6
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefepime,8941,804,425,52.86069652
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefepime,3343,230,220,95.65217391
PAK,Pakistan,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefepime,8946,208,123,59.13461538
PAK,Pakistan,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefepime,14284,213,99,46.47887324
PAK,Pakistan,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefepime,15455,123,82,66.66666667
PAK,Pakistan,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefepime,28695,172,127,73.8372093
PHL,Philippines,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Cefepime,6689,1664,767,46.09375
PHL,Philippines,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Cefepime,8074,1921,859,44.7162936
PHL,Philippines,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Cefepime,9132,2391,1041,43.53826851
PHL,Philippines,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Cefepime,4560,1407,593,42.1464108
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefepime,3860,1031,346,33.55965082
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefepime,5627,1587,883,55.63957152
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefepime,5587,1543,842,54.56902139
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefepime,4464,1464,815,55.66939891
TUN,Tunisia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Cefepime,3523,886,261,29.45823928
TUN,Tunisia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Cefepime,12711,1650,469,28.42424242
TUN,Tunisia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Cefepime,5444,726,236,32.50688705
TUN,Tunisia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Cefepime,5309,599,207,34.55759599
