Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Ceftriaxone,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Ceftriaxone,2.29309436,26.53597813,43.30175194,54.15474061,97.14285714,,
2018,URINE,Klebsiella pneumoniae,Ceftriaxone,5.503028512,25.98169501,41.24337103,55.39423565,69.81132075,,
2019,URINE,Klebsiella pneumoniae,Ceftriaxone,4.735937407,19.85750339,42.93821628,52.21530724,58.75190259,,
2020,URINE,Klebsiella pneumoniae,Ceftriaxone,4.715610683,22.31385642,43.17222544,59.85902266,74.29805616,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,13558,724,226,31.21546961
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,22331,1829,562,30.72717332
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,27055,2325,519,22.32258065
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,29681,1916,493,25.73068894
BGD,Bangladesh,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,209,28,14,50
BGD,Bangladesh,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,412,74,32,43.24324324
BGD,Bangladesh,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,488,82,33,40.24390244
BGD,Bangladesh,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,261,43,18,41.86046512
BHR,Bahrain,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,477,477,149,31.23689727
BHR,Bahrain,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,3706,549,197,35.88342441
BHR,Bahrain,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,4535,992,357,35.98790323
BHR,Bahrain,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,3517,913,304,33.29682366
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,97650,1457,75,5.147563487
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,118114,13538,745,5.503028512
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,139721,16871,799,4.735937407
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,153286,17898,844,4.715610683
FIN,Finland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,281729,3794,87,2.29309436
FIN,Finland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,159588,5313,508,9.56145304
FIN,Finland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,159676,5474,582,10.63207892
FIN,Finland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,146108,5097,568,11.14381008
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,810851,6536,926,14.16768666
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,863293,10285,1208,11.74526009
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,880701,12590,1569,12.46227164
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,651538,9533,1150,12.06335886
IND,India,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,10034,260,224,86.15384615
IND,India,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,25203,363,228,62.80991736
IND,India,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,47746,340,195,57.35294118
IND,India,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,18235,29,19,65.51724138
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,452366,54649,5309,9.714724881
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,423516,51099,4524,8.853402219
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,453889,53069,5246,9.885243739
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,475584,56135,6179,11.00739289
LBN,Lebanon,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,2017,60,32,53.33333333
LBN,Lebanon,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,3964,423,166,39.24349882
LBN,Lebanon,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,1363,227,106,46.69603524
LBN,Lebanon,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,3918,281,125,44.48398577
MYS,Malaysia,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,19286,2019,619,30.65874195
MYS,Malaysia,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,19914,2002,640,31.96803197
MYS,Malaysia,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,19312,1319,390,29.56785444
MYS,Malaysia,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,18124,1198,335,27.96327212
NPL,Nepal,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,295,35,34,97.14285714
NPL,Nepal,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,4866,319,175,54.85893417
NPL,Nepal,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,9953,664,303,45.63253012
NPL,Nepal,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,5975,498,253,50.80321285
OMN,Oman,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,4377,718,328,45.68245125
OMN,Oman,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,3636,460,253,55
OMN,Oman,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,8941,1407,718,51.03056148
OMN,Oman,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,3343,463,344,74.29805616
PAK,Pakistan,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,8946,1118,633,56.61896243
PAK,Pakistan,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,14284,318,222,69.81132075
PAK,Pakistan,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,15455,2053,1055,51.38821237
PAK,Pakistan,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,28695,771,501,64.98054475
PHL,Philippines,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,6689,1710,1035,60.52631579
PHL,Philippines,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,8074,1969,1114,56.57694261
PHL,Philippines,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,9132,2406,1316,54.69659185
PHL,Philippines,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,4560,1458,871,59.739369
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,3860,760,311,40.92105263
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,5627,1264,734,58.06962025
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,5587,1224,715,58.41503268
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,4464,1101,663,60.21798365
THA,Thailand,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Ceftriaxone,2250,346,179,51.73410405
THA,Thailand,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Ceftriaxone,4301,747,354,47.38955823
THA,Thailand,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Ceftriaxone,9011,657,386,58.75190259
THA,Thailand,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Ceftriaxone,11131,1694,896,52.89256198
