Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Imipenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Imipenem,0,1.54376175,12.13602818,16.77875644,96.42857143,,
2018,URINE,Klebsiella pneumoniae,Imipenem,0.110957004,1.360833918,10.59342536,15.55207706,93.5483871,,
2019,URINE,Klebsiella pneumoniae,Imipenem,0.103640368,1.723681977,11.06044289,15.92321022,33.19677378,,
2020,URINE,Klebsiella pneumoniae,Imipenem,0.071859928,2.628438098,9.51426025,21.45334598,62.5,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Imipenem,13558,2615,136,5.200764818
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Imipenem,22331,4050,218,5.382716049
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Imipenem,27055,4737,170,3.588769263
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Imipenem,29681,5694,183,3.213909378
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Imipenem,39782,3190,377,11.81818182
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Imipenem,44553,3808,417,10.95063025
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Imipenem,35830,3537,385,10.88493073
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Imipenem,29170,3174,430,13.54757404
BGD,Bangladesh,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Imipenem,209,33,5,15.15151515
BGD,Bangladesh,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Imipenem,412,78,11,14.1025641
BGD,Bangladesh,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Imipenem,488,89,10,11.23595506
