Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Levofloxacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Levofloxacin,3.052161275,8.290713324,32.11678832,40.57971014,69.23076923,,
2018,URINE,Klebsiella pneumoniae,Levofloxacin,2.798637671,10.38220194,31.94570136,41.58415842,50.49019608,,
2019,URINE,Klebsiella pneumoniae,Levofloxacin,2.945183263,8.972184532,35.58282209,39.15441176,57.14285714,,
2020,URINE,Klebsiella pneumoniae,Levofloxacin,3.482751852,10.15531661,36.56884876,42.56880734,53.33333333,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,13558,193,19,9.844559585
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,22331,662,86,12.99093656
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,27055,1632,639,39.15441176
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,29681,1674,170,10.15531661
CHE,Switzerland,European Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,97650,427,28,6.557377049
CHE,Switzerland,European Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,118114,4646,375,8.07145932
CHE,Switzerland,European Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,139721,6656,421,6.325120192
CHE,Switzerland,European Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,153286,6765,439,6.489283075
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,810851,3715,308,8.290713324
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,863293,5259,546,10.38220194
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,880701,5896,529,8.972184532
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,651538,6202,712,11.48016769
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,452366,74308,2268,3.052161275
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,423516,71642,2005,2.798637671
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,453889,77075,2270,2.945183263
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,475584,81516,2839,3.482751852
NPL,Nepal,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,295,52,36,69.23076923
NPL,Nepal,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,4866,204,103,50.49019608
NPL,Nepal,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,9953,556,192,34.5323741
NPL,Nepal,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,5975,306,115,37.58169935
PAK,Pakistan,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,8946,161,86,53.41614907
PAK,Pakistan,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,14284,48,20,41.66666667
PAK,Pakistan,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,15455,14,8,57.14285714
PAK,Pakistan,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,28695,30,16,53.33333333
PHL,Philippines,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,6689,754,276,36.60477454
PHL,Philippines,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,8074,1105,353,31.94570136
PHL,Philippines,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,9132,1141,406,35.58282209
PHL,Philippines,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,4560,545,232,42.56880734
SAU,Saudi Arabia,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,3860,548,176,32.11678832
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,5627,1414,588,41.58415842
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,5587,1292,481,37.22910217
SAU,Saudi Arabia,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,4464,1329,486,36.56884876
THA,Thailand,South-East Asia Region,2017,URINE,Klebsiella pneumoniae,Levofloxacin,2250,138,56,40.57971014
THA,Thailand,South-East Asia Region,2018,URINE,Klebsiella pneumoniae,Levofloxacin,4301,213,69,32.3943662
THA,Thailand,South-East Asia Region,2019,URINE,Klebsiella pneumoniae,Levofloxacin,9011,548,276,50.3649635
THA,Thailand,South-East Asia Region,2020,URINE,Klebsiella pneumoniae,Levofloxacin,11131,897,447,49.83277592
