Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection syndrome filter: Urinary tract,,,,,,,,,,
Bacterial pathogen filter: Klebsiella pneumoniae,,,,,,,,,,
Antibiotic filter: Meropenem,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2017,URINE,Klebsiella pneumoniae,Meropenem,0,0.465855445,5.172018952,13.70311394,20,,
2018,URINE,Klebsiella pneumoniae,Meropenem,0.174927114,0.488424226,5.148121387,14.77601633,24.12280702,,
2019,URINE,Klebsiella pneumoniae,Meropenem,0.175981708,0.406536836,3.691295528,15.40532645,22.50324254,,
2020,URINE,Klebsiella pneumoniae,Meropenem,0.096061479,0.311382289,4.194083082,17.60994453,24.22573985,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Meropenem,13558,2714,164,6.042741341
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Meropenem,22331,4336,271,6.25
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Meropenem,27055,5418,213,3.931339978
ARE,United Arab Emirates,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Meropenem,29681,5882,244,4.148248895
ARG,Argentina,Region of the Americas,2017,URINE,Klebsiella pneumoniae,Meropenem,39782,3180,406,12.7672956
ARG,Argentina,Region of the Americas,2018,URINE,Klebsiella pneumoniae,Meropenem,44553,3809,435,11.42032029
ARG,Argentina,Region of the Americas,2019,URINE,Klebsiella pneumoniae,Meropenem,35830,3539,434,12.26335123
ARG,Argentina,Region of the Americas,2020,URINE,Klebsiella pneumoniae,Meropenem,29170,3174,493,15.53245117
BHR,Bahrain,Eastern Mediterranean Region,2017,URINE,Klebsiella pneumoniae,Meropenem,477,150,27,18
BHR,Bahrain,Eastern Mediterranean Region,2018,URINE,Klebsiella pneumoniae,Meropenem,3706,197,28,14.21319797
BHR,Bahrain,Eastern Mediterranean Region,2019,URINE,Klebsiella pneumoniae,Meropenem,4535,455,68,14.94505495
BHR,Bahrain,Eastern Mediterranean Region,2020,URINE,Klebsiella pneumoniae,Meropenem,3517,397,71,17.88413098
FIN,Finland,European Region,2017,URINE,Klebsiella pneumoniae,Meropenem,281729,3969,0,0
FIN,Finland,European Region,2018,URINE,Klebsiella pneumoniae,Meropenem,159588,2062,4,0.193986421
FIN,Finland,European Region,2019,URINE,Klebsiella pneumoniae,Meropenem,159676,2213,4,0.180750113
FIN,Finland,European Region,2020,URINE,Klebsiella pneumoniae,Meropenem,146108,2082,2,0.096061479
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2017,URINE,Klebsiella pneumoniae,Meropenem,810851,29459,160,0.543127737
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2018,URINE,Klebsiella pneumoniae,Meropenem,863293,31397,184,0.586043253
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2019,URINE,Klebsiella pneumoniae,Meropenem,880701,44416,191,0.430025216
GBR,United Kingdom of Great Britain and Northern Ireland,European Region,2020,URINE,Klebsiella pneumoniae,Meropenem,651538,35882,128,0.35672482
JPN,Japan,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Meropenem,452366,74774,175,0.23403857
JPN,Japan,Western Pacific Region,2018,URINE,Klebsiella pneumoniae,Meropenem,423516,72098,141,0.195567145
JPN,Japan,Western Pacific Region,2019,URINE,Klebsiella pneumoniae,Meropenem,453889,77849,137,0.175981708
JPN,Japan,Western Pacific Region,2020,URINE,Klebsiella pneumoniae,Meropenem,475584,81688,125,0.153021252
KOR,Republic of Korea,Western Pacific Region,2017,URINE,Klebsiella pneumoniae,Meropenem,9130,1256,17,1.353503185
